Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMBO082823;"2020. 06. 08.";'K4089';"Nem szeretne nyilatkozni!";"Az IP telefon külföldi telefonszám hívását nem engedélyezi!!!"
NMLG027128;"2020. 06. 08.";'E6145';"Sikeres hívás, kérdõív kitöltve.";"Minden szerviznek ilyennek kéne lenni!!!"
NMLG027119;"2020. 06. 08.";'C0746';"Nem szeretne nyilatkozni!";"Marketinges és nem adhat semmilyen kérdésekre választ!
"
NMLZ106164;"2020. 06. 08.";'A9241';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrészre sokat kellett várnia!!"
NMLZ106747;"2020. 06. 08.";'C0178';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrészre sokat kellett várnia!!"
NMLM097512;"2020. 06. 08.";'B2447';"Sikeres hívás, kérdõív kitöltve.";"Akadt némi fennforgás a munka során, de rugalmasan álltak hozzá a probléma kezeléséhez!!!"
NMLM097454;"2020. 06. 08.";'R0612';"Nem szeretne nyilatkozni!";"Nem csináltatták meg, mert nagyon drága lett volna!"
NMLM097499;"2020. 06. 08.";'B4274';"Sikeres hívás, kérdõív kitöltve.";"Ez egy elektromos autó!  Miért kell neki 80 ezer forintot fizetnie egy 30 ezres szervizre??"
NMBO082777;"2020. 06. 08.";'K2962';"Sikeres hívás, kérdõív kitöltve.";"Abban szeretne segítséget kérni, hogy az elektromos ablakemelõnél eddig 50%-os a siker és várja, hogy a többi is megoldódjon! Esetleg a szervizvezetõ nem tudna neki segíteni, bár a Király úr is csillagos 10-es??!!!"
NMLZ106985;"2020. 06. 08.";'B0363';"Sikeres hívás, kérdõív kitöltve.";"Annyit jelezne, hogy a garancia meghosszabbítás illetve a szerviz-csomagos tájékoztatás nem volt teljes körû, ez volt egy pici negatívum!!!"
NMBO082436;"2020. 06. 08.";'66255';"Nem szeretne nyilatkozni!";KOLLÉGÁNK!!!!
NMLZ107041;"2020. 06. 08.";'P1748';"Nem szeretne nyilatkozni!";"Szerdán még megy vissza a szervizbe, utána majd értékel!!!"
NMLZ107020;"2020. 06. 08.";'S8418';"Sikeres hívás, kérdõív kitöltve.";"Az autó karbantartására a jó tanácsok sajnos elmaradtak, és ezt nagyon hiányolta!!!"
NMLG027131;"2020. 06. 09.";'C0663';"Sikeres hívás, kérdõív kitöltve.";"Van olyan probléma, amit jelzett, de nem tudtak rá válaszolni, ígérték, hogy utána néznek, de inkább hitegették!!"
NMLM097599;"2020. 06. 09.";'R0970';"Sikeres hívás, kérdõív kitöltve.";"Garanciális javítás miatt kell majd visszatérnie!!!"
NMLM097064;"2020. 06. 09.";'I5063';"Nem szeretne nyilatkozni!";"Nagyon nem elégedett!! A Gablini úrat szeretné megkeresni, a szervizvezetõ illetve a munkatársak minõsíthetetlen magatartása miatt(az akkumulátor csere miatt, tükörindex,autócsere,visszahívás,ajánlat másik autóra felületesség, oda nem figyelés stb.)!!!"
NMBO082856;"2020. 06. 09.";'K4321';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon egy férfi jelentkezett és csak angolul beszél!!!"
NMLG027139;"2020. 06. 09.";'B3796';"Sikeres hívás, kérdõív kitöltve.";"Várja az árajánlatot, amit megbeszéltek!!!"
NMLG027130;"2020. 06. 09.";'E1446';"Sikeres hívás, kérdõív kitöltve.";"Nagyon sajnálja, hogy Gödöllõn nincs karosszéria lakatos mûhelye a szerviznek!!!"
NMLZ107086;"2020. 06. 09.";'S3417';"Nem szeretne nyilatkozni!";"Az autó jelenleg is a szervizben van, utána beszéljünk!"
NMLZ107091;"2020. 06. 09.";'Q9972';"Sikeres hívás, kérdõív kitöltve.";"Az idõpont amirõl szó volt az nem egyezett, pedig sms-t  és emailt is kapott!!"
NMLZ106957;"2020. 06. 09.";'P7347';"Sikeres hívás, kérdõív kitöltve.";"A javítás öt hónapig tartott és ez nagyon nem volt jó, de a Láda úr nagyon kedves, rendes mindenrõl tájékoztatta!!!"
NMBO082835;"2020. 06. 09.";'J6153';"Nem szeretne nyilatkozni!";"Sajnos nagyot csalódott a Nissanban, ezért a munkáért 16 ezer forintot elkérni elég szomorú!!!"
NMLM097469;"2020. 06. 09.";'A2425';"Nem szeretne nyilatkozni!";"Méreg drága a Gablini szerviz és emiatt nem értékelné a munkánkat!!!!"
NMLZ105908;"2020. 06. 10.";'S1558';"Sikeres hívás, kérdõív kitöltve.";"A jövõben a szerviz javulhatna a kommunikációban! A másik észrevétele, hogy a cége nem kapott információt a pénzügyi dolgok alakulásáról!"
NMBO082845;"2020. 06. 10.";'K4319';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél a szerviz-szolgáltatásra 10-es értékelés adott, viszont a munkafelvevõnek: 2-es értékelést adott, és a véleményét inkább nem mondja, nem akar kellemetlenséget a munkafelvevõnek!!! "
NMLM097628;"2020. 06. 10.";'R0572';"Sikeres hívás, kérdõív kitöltve.";"Pontosan, gyorsan, szépen dolgoztak!!"
NMLM097528;"2020. 06. 10.";'B1784';"Sikeres hívás, kérdõív kitöltve.";"A zuglói szervizrõl sajnos nincs jó tapasztalata, ezért jár az M3-ra, és ha már kérdeztem ezt azért megjegyezésként elmondta!!"
NMLM097432;"2020. 06. 10.";'B1197';"Nem szeretne nyilatkozni!";"Ez a telefonszám 06.05. óta csak csörög, ill. hangposta jelentkezett!!"
NMBO082626;"2020. 06. 11.";'K4292';"Sikeres hívás, kérdõív kitöltve.";"Garanciális munka miatt fog visszatérni!!<br />
"
NMLM097539;"2020. 06. 11.";'B0320';"Nem szeretne nyilatkozni!";"Ez a telefonszám 06.09. óta csak csörög, így elérhetetlen!!!"
NMLM097478;"2020. 06. 11.";'A9889';"Nem szeretne nyilatkozni!";"Szoták Bálint dolgozónk telefonszáma, a másik pedig Viszt Péter dolgozónk telefonszáma!!!"
NMLM097591;"2020. 06. 11.";'R1034';"Sikeres hívás, kérdõív kitöltve.";"Az elsõ garanciális szervize volt. Azt mondta a m.felvevõ, hogy ki kell cserélni a fékolajat, és nagyon sokallja a 113 ezer forintot. A következõ alkalommal nem ide fogja hozni, hanem más márkaszervizbe!!! Felháborítóan magasnak tartja az árakat!!"
NMLM097590;"2020. 06. 11.";'B0164';"Nem szeretne nyilatkozni!";"Az emailben kapott kérdõívet már kitöltötte!!!"
NMLM097393;"2020. 06. 11.";'B3410';"Sikeres hívás, kérdõív kitöltve.";"Nagyon hiányolja, hogy az itt elvégzett munkáról semmilyen munkalapot vagy egyéb nem kapott!!"
NMLM097511;"2020. 06. 11.";'B3559';"Nem szeretne nyilatkozni!";"Ez a telefonszám 06.09. óta csak csörög, így elérhetetlen!!!"
NMLZ107034;"2020. 06. 11.";'87692';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 06.09. óta hol hangposta jelentkezett, hol csak csörgött, így elérhetetlen!!!"
NMLZ107082;"2020. 06. 11.";'P0467';"Nem szeretne nyilatkozni!";"Ez a telefonszám folyamatosan foglaltat jelez, ugyanúgy mint az 5. hónapban!! Ezzel az ügyféllel  soha nem sikerül beszélni akármikor hívjuk!!"
NMLZ106803;"2020. 06. 11.";'P0467';"Nem szeretne nyilatkozni!";"Ez a telefonszám folyamatosan foglaltat jelez, ugyanúgy mint az 5. hónapban!! Ezzel az ügyféllel  soha nem sikerül beszélni akármikor hívjuk!!"
NMBO082878;"2020. 06. 12.";'K3847';"Nem szeretne nyilatkozni!";"Az IP telefon nem engedélyezi a külföldi szám hívását!!!"
NMLM097631;"2020. 06. 12.";'Q9319';"Sikeres hívás, kérdõív kitöltve.";"Amikor bejelentkezett, nem adtak árajánlatot, illetve költségbecslést csak ott szembesült az összeggel!!!"
NMLM097623;"2020. 06. 12.";'R0772';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 06.10. óta csak hangposta jelentkezik, így elérhetetlen!!!"
NMLG027156;"2020. 06. 12.";'C0832';"Sikeres hívás, kérdõív kitöltve.";"1,5 év alatt nem sikerült válaszolni egy kérdésére, és néznek rá, mint a sült bolondra!!!! Írni fog egy hivatalos levelet, mert ez cég autó és nem akarja tönkre tenni, nehogy utána pedig neki legyen ebbõl gondja!! Addig nem tudja értékelni a 2., és 3. kérdésemet míg erre választ nem kap!!! (az értékelést én írtam be, mivel akkor a rendszer nem küldi el)"
NMLZ106163;"2020. 06. 12.";'K0933';"Nem szeretne nyilatkozni!";"Az úr 06.10-én 06.11-re kért visszahívást, de azóta csak hangposta jelentkezett!"
