Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLM106845;"2021. 06. 14.";'B6008';"Sikeres hívás, kérdõív kitöltve.";"Nagyon pozitív volt a szerviz !"
NMLZ114267;"2021. 06. 14.";'T2324';"Sikeres hívás, kérdõív kitöltve.";"Amiért ment azt nem tudták megcsinálni (klíma) !<br />
Az volt az érzése,hogy nem igazából értenek a dolgokhoz Kérdezett ezt azt és nem tudtak segíteni !!"
NMLZ113843;"2021. 06. 14.";'T2036';"Sikeres hívás, kérdõív kitöltve.";"Sajnos voltak problémák a kommunikációban  kétszer fizetett a diagnosztikáért ! <br />
A javítás egymillió forint volt és megmondja õszintén ezért többet várt volna a szerviztõl !<br />
"
NMBO089695;"2021. 06. 14.";'H3985';"Sikeres hívás, kérdõív kitöltve.";"A központban furcsállották,hogy az autóban kevés a kilométer de ez nyilván nem a szerviz hibája !"
NMLZ114348;"2021. 06. 14.";'T2334';"Sikeres hívás, kérdõív kitöltve.";"A szerviz leírását nem kapta meg, hogy mit végeztek szakmailag!!"
NMLZ114341;"2021. 06. 14.";'T2333';"Nem szeretne nyilatkozni!";"Az úr visszahívott és elmondta, hogy még a szerdai napon megy vissza a szervizbe, és utána keressem vagy kitölti a kérdõívet!!"
NMBO089699;"2021. 06. 14.";'K5212';"Sikeres hívás, kérdõív kitöltve.";"Az autó külföldrõl lett behozva és a Nissan konekt  kapcsán lett volna kérdése de majd hívja a m.felvevõ kollégát !"
NMLZ113764;"2021. 06. 14.";'A5485';"Sikeres hívás, kérdõív kitöltve.";"Nagyon rendben zajlott minden teljesen elégedett volt !!"
NMLZ114098;"2021. 06. 14.";'S8208';"Nem szeretne nyilatkozni!";"Az autó ismét a szervizben van, mert ismét elõjött a hiba, majd utána értékel!!"
NMLG030587;"2021. 06. 14.";'C0782';"Nem szeretne nyilatkozni!";"Ez a telefonszám 06.10. óta csak csörög, így elérhetetlen!!"
NMLZ114023;"2021. 06. 14.";'B3143';"Nem szeretne nyilatkozni!";"Sajnos a lökhárító más színû lett ezért szabadságot kellet kivennie.
Eddig minden rendben volt ez most nem sikerült !!"
NMLZ114304;"2021. 06. 14.";'B1635';"Sikeres hívás, kérdõív kitöltve.";"Nagyon rugalmas volt a szerviz <br />
tökéletes munkát végeztek a kollégák !"
NMLZ113937;"2021. 06. 14.";'K3546';"Sikeres hívás, kérdõív kitöltve.";"A  Tóth László munkáját külön köszöni !!"
NMLG030462;"2021. 06. 14.";'E6643';"Sikeres hívás, kérdõív kitöltve.";"Az ügyfélváróban nem mûködött a wifi jelszó, ami ki volt írva!!"
NMLZ113181;"2021. 06. 14.";'K3939';"Sikeres hívás, kérdõív kitöltve.";"Sajnos a javítás nagyon sokáig tartott a biztosító is húzta az idõ az alkatrészre is sokat kellett várni .Összességében nem volt itt jó élménye !!!"
NMLG030648;"2021. 06. 14.";'E6690';"Sikeres hívás, kérdõív kitöltve.";"Elõször, járt nálunk még olyan tapasztalata nincs!!"
NMLG030638;"2021. 06. 14.";'E6691';"Sikeres hívás, kérdõív kitöltve.";"Olcsóság az jó lenne!!"
NMLZ114320;"2021. 06. 15.";'M1214';"Sikeres hívás, kérdõív kitöltve.";"Nagyon rendben volt minden !"
NMLG030650;"2021. 06. 15.";'C1294';"Sikeres hívás, kérdõív kitöltve.";"Az ár nem úgy alakult, ezzel az elsõ éves szervizzel ahogy elképzelte, mert az ár nagyon magas!!"
NMLZ114300;"2021. 06. 15.";'T2327';"Sikeres hívás, kérdõív kitöltve.";"Rendben volt minden !!"
NMLG030673;"2021. 06. 15.";'C0152';"Sikeres hívás, kérdõív kitöltve.";"Teljes mértékben megvolt elégedve!!!"
NMLG030643;"2021. 06. 15.";'E6139';"Sikeres hívás, kérdõív kitöltve.";"Többet vártak mint amit kaptak ! Valószínû,hogy ide többet nem jönnek !!"
NMLG030666;"2021. 06. 15.";'E0907';"Sikeres hívás, kérdõív kitöltve.";"Nagyon finom volt a kávé!!"
NMLG030156;"2021. 06. 15.";'E6582';"Sikeres hívás, kérdõív kitöltve.";"Pozitív volt minden tökéletes !"
NMLG030627;"2021. 06. 15.";'E5664';"Sikeres hívás, kérdõív kitöltve.";"Elmondott két problémát. Cseréltek alkatrészt mondták mennyibe fog kerülni, de a dolog nem szûnt meg. Elfelejtették a másik a problémát(fûtés) és nem történt semmi elõrelépés!! A szerviz könyvbe nem írták és nem pecsételték be ezt a szerviz idõpontot!!"
NMBO089733;"2021. 06. 15.";'I5636';"Sikeres hívás, kérdõív kitöltve.";"Rendben volt minden autót gyönyörûen lemosták !"
NMLZ113873;"2021. 06. 15.";'K4417';"Nem szeretne nyilatkozni!";"A tegnapi nap folyamán a Laci beszélt az ügyféllel, de nem látta, hogy duplázó volt, és ezért nem lett be tegnap elküldve!!"
NMBO089553;"2021. 06. 15.";'K5184';"Nem szeretne nyilatkozni!";"Mostanában nagyon el van foglalva(költözködik) és nem ér rá!!"
NMLZ114382;"2021. 06. 15.";'B5463';"Sikeres hívás, kérdõív kitöltve.";"A javítás sokáig tartott de ez nem a szerviz hibája volt . Ebben a biztosító és az alkatrész volt a fõ probléma !<br />
Még azt szeretné jelezni,hogy olyan érzése volt mintha nem lett volna kedve dolgozni a szerviznek ! (Kábelbehúzás)!!"
NMLZ112991;"2021. 06. 15.";'B5463';"Sikeres hívás, kérdõív kitöltve.";"A javítás sokáig tartott de ez nem a szerviz hibája volt . Ebben a biztosító és az alkatrész volt a fõ probléma !<br />
Még azt szeretné jelezni,hogy olyan érzése volt mintha nem lett volna kedve dolgozni a szerviznek ! (Kábelbehúzás)!!"
