Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLZ104912;"2020. 03. 02.";'C0918';"Nem szeretne nyilatkozni!";"A férje járt az autóval a szervizben, és különben is inkább majd kitölti az emailben kapott kérdõívet!!!"
NMLZ104574;"2020. 03. 02.";'B0541';"Sikeres hívás, kérdõív kitöltve.";"Rossz helyre van kiírva a szalonba, hogy a karosszéria javításra merre kell menni!! "
NMLM095390;"2020. 03. 02.";'B4537';"Sikeres hívás, kérdõív kitöltve.";"Picit drágának találta a szervizt, 100 ezer forintot mondtak és lett belõle 140 ezer forint!!!"
NMLM095325;"2020. 03. 02.";'B3793';"Nem szeretne nyilatkozni!";"Elmondta, hogy már egy hete hívtam, beszéltünk!"
NMLM094495;"2020. 03. 02.";'B3243';"Sikeres hívás, kérdõív kitöltve.";"A zuglói szervizzel azzal nincs megelégedve, úgy adták át az autót, hogy a napfénytetõ nem mûködött nem programozták be!"
NMLM095412;"2020. 03. 02.";'R0769';"Sikeres hívás, kérdõív kitöltve.";"Annyi lenne a kérése, hogy amennyiben lehetséges jóval elõbb hívják fel telefonon, hogy jöjjön az esedékes éves szervizre!!!"
NMLZ104923;"2020. 03. 02.";'P8387';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 02.24. óta csak hangposta jelentkezik!"
NMLZ105031;"2020. 03. 02.";'S6912';"Nem szeretne nyilatkozni!";"Ez a telefonszám 02.24. óta csak csörög, így elérhetetlen!"
NMBO080403;"2020. 03. 02.";'J5548';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrészre nagyon sokat kellett várni, de ez nyilván nem a szerviz hibája!"
NMBO081037;"2020. 03. 02.";'K4121';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drágán dolgozik a Gablini szerviz!!!"
NMLZ105097;"2020. 03. 02.";'99295';"Nem szeretne nyilatkozni!";"Az autó még viszi vissza, most elég mérges majd utána hívjam!!!"
NMLG026438;"2020. 03. 02.";'E6051';"Nem szeretne nyilatkozni!";"Ez a munka még nincs befejezve!!!"
NMLM095314;"2020. 03. 02.";'B0815';"Sikeres hívás, kérdõív kitöltve.";"Van egy hiba, amit nem találnak, valami rezonál és nincs megoldás?!"
NMLZ103016;"2020. 03. 02.";'S5753';"Nem szeretne nyilatkozni!";"Sajnos az alkatrészre három hónapot kellett várni, ami nagyon hosszú idõ!! Emiatt nem szeretne most értékelni, bár megcsinálták, de ennek a lehetõségével most nem élne!!"
NMBO080426;"2020. 03. 02.";'J8627';"Nem szeretne nyilatkozni!";"Itt a második mobilszámon a férjjel beszéltünk!!! Kéri, hogy a szervizvezetõ hívja fel! Azóta villog a légzsák lámpa, és Õ nem szeretne fizetni ezért 22 ezer forintot az biztos!! Eddig jó volt, most pedig nem!!!"
NMLZ103500;"2020. 03. 02.";'P7032';"Nem szeretne nyilatkozni!";"Már kitöltötte az emailban kapott kérdõívet!!!"
NMLZ104740;"2020. 03. 02.";'H7817';"Nem szeretne nyilatkozni!";"A javítás folyamatban van úgy volt, hogy pénteken kész, de mégsem!!!"
NMLZ104551;"2020. 03. 02.";'Q9820';"Sikeres hívás, kérdõív kitöltve.";"Sajnos azért nem elégedett - bár mindenki rendes - , mert a hiba a kopogás nem szûnt meg!! Eddig háromszor volt ezzel a hibával, de valószínû, hogy ismét vissza fog jönni!!!"
