Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLG029264;"2021. 01. 25.";'E6491';"Nem szeretne nyilatkozni!";
NMLG029260;"2021. 01. 25.";'C1166';"Sikeres hívás, kérdõív kitöltve.";"A Wifi nem mûködött a várakozás alatt, csatlakozás nem volt lehetséges!!!"
NMBO087137;"2021. 01. 25.";'K0663';"Nem szeretne nyilatkozni!";"Már válaszolt ezekre a kérdésekre írásban!!"
NMBO087141;"2021. 01. 25.";'M1241';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél a szerviz-szolgáltatásra adott 2-es értékelést, mert 4 hónapot várt egy alkatrészre, a m.felvevõre: 10-es értékelést ad!!"
NMBO086930;"2021. 01. 25.";'K4895';"Nem szeretne nyilatkozni!";"Nem tud most értékelni, mert az egyik kollégája vitte a szervizbe az autóját, de másik telefonszámot nem adott!!"
NMLM100225;"2021. 01. 25.";'M1547';"Nem szeretne nyilatkozni!";"Az úr nagyon kioktató,cinikus és kioktató volt, mert mertem egyet sóhajtani, és azt mondta, hogy egy hónap múlva hívjam, mert még folyik az autó szervizelése!!"
NMLM103430;"2021. 01. 25.";'M1529';"Sikeres hívás, kérdõív kitöltve.";"A call-centeres kolléga nincs teljesen képbe a munka idõtartamával és az összegekkel kapcsolatban!! Ez részérõl negatív kritika volt!!"
NMLZ111542;"2021. 01. 25.";'T1952';"Nem szeretne nyilatkozni!";"Az ügyfél elmondta, hogy még alkatrész rendelés van, megy vissza és utána értékel!!"
NMLM103325;"2021. 01. 25.";'B3723';"Nem szeretne nyilatkozni!";"Azonnali beavatkozásra nincs szükség, de majd egy párt dolgot meg kell a jövõben csinálni!!"
NMLZ111582;"2021. 01. 25.";'P8977';"Sikeres hívás, kérdõív kitöltve.";"Az lenneaz észrevétele, ha elõre megvan beszélve, hogy 75 ezer forint a javítás akkor nem értik, hogy miért lett 80 ezer forint??!!"
NMLG029248;"2021. 01. 25.";'E0899';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága volt a javítás, egy olajcsere 82 ezer forint, hát.....!!!!"
NMLG029251;"2021. 01. 25.";'A3403';"Sikeres hívás, kérdõív kitöltve.";"Annyit jelezne, hogy az olajcserét úgy végezték el, hogy elõre nem volt megbeszélve!! Amúgy még alkatrészre vár visszahívást!!!"
NMLM103465;"2021. 01. 26.";'B5570';"Nem szeretne nyilatkozni!";"Kérlek szépen benneteket, hogy ne írjatok be ilyen telefonszámot: 20 111 1111, nincs elõfizetõ, hülyeség!!"
NMLZ111390;"2021. 01. 26.";'T1446';"Sikeres hívás, kérdõív kitöltve.";"Az egyik problémája megint kiújult, igazából a lényegében megoldódott, de ma reggel megint felvillant az airbag!! Mostanában lefullad az autó és kapott egy árajánlatot!!"
NMLM103344;"2021. 01. 26.";'R1048';"Nem szeretne nyilatkozni!";
NMLM103392;"2021. 01. 26.";'R0714';"Sikeres hívás, kérdõív kitöltve.";"Az autóval nem elégedett, viszont a szolgáltatással azzal igen!!!"
NMLZ111086;"2021. 01. 26.";'B3413';"Sikeres hívás, kérdõív kitöltve.";"Elég sokáig tartott ez az ügy, mert aki intézte az koronavírusos lett, és közbe ott volt a karácsony!!"
NMLM103428;"2021. 01. 26.";'B5566';"Sikeres hívás, kérdõív kitöltve.";"Szervert kell frissíteni, azért fog visszatérni!!"
NMLM103417;"2021. 01. 26.";'S2571';"Sikeres hívás, kérdõív kitöltve.";"Megrendelt alkatrész beszerelése miatt megy vissza!!"
NMLZ111560;"2021. 01. 26.";'24425';"Nem szeretne nyilatkozni!";DOLGOZÓNK!!!
NMLZ111457;"2021. 01. 26.";'A7953';"Sikeres hívás, kérdõív kitöltve.";"Hívták telefonon, hogy lejár a mûszaki vizsgája!! Bement a szervizbe és kiderült, hogy egy év múlva jár le!! Kicsit fura volt a helyzet, de ha már ott volt akkor az olajcserét megcsinálták!!!"
NMBO087108;"2021. 01. 26.";'J9838';"Nem szeretne nyilatkozni!";"Mûszaki vizsgát nem kapott, mert a gumik állapota nem volt megfelelõ!!"
NMLZ111188;"2021. 01. 26.";'Q9067';"Sikeres hívás, kérdõív kitöltve.";"Eddig minden rendben haladt, az alkatrészeket megrendelték és majd  értesítik amikor megérkezik!!"
NMBO086296;"2021. 01. 26.";'K3134';"Sikeres hívás, kérdõív kitöltve.";"Nagyon sajnálja, hogy a csereautó szolgáltatás megszûnt nálunk, pedig anno azért vett Nissan-t, mert neki fontos volt, hogy van csereautó-szolgáltatás!! Még vissza kell mennie, mert a csomagtartó zár még nem tökéletes!!!"
NMLM103378;"2021. 01. 26.";'R1057';"Sikeres hívás, kérdõív kitöltve.";"Viszont az emailben kapott kérdõívet is kitöltötte!!"
NMLM103500;"2021. 01. 27.";'R1286';"Nem szeretne nyilatkozni!";"Akivel beszéltem annyit mondott, hogy ezt az autót nekünk adták el, és nem tud mást!!"
NMLG029249;"2021. 01. 27.";'E6487';"Nem szeretne nyilatkozni!";"Ez a telefonszám 01.25. óta csak csörög, így elérhetetlen!!"
NMLG029284;"2021. 01. 27.";'C1200';"Sikeres hívás, kérdõív kitöltve.";"1. Nagyon sokba került ez a javítás, magas az ár, nagyon húzós volt!<br />
2. Felsorolt 3-4 problémát,amit az autóval kapcsolatban észrevett! Ígéretet kapott hogy el lesz hárítva(gázpedál alatti kattogás a hazafelé vezetõ úton ismét elõjött) ezt sem javították meg!!<br />
3. Nem rég karosszéria javításon volt Zuglóban és ott nagyon megvolt elégedve! Az egyetlen az, hogy öt napig tartott a javítás, de ebbõl nem volt problémája!!<br />
4. A tegnapi napon sajnos nagyon koszosan kapta vissza az autóját, a szerviz-vezetõ jött oda és törölgette le róla az összefogdosott autót!! Úgy gondolja, hogy egy ilyen hibákat meg kellene oldani egy márkaszerviznek!! A jövõben úgy néz ki, hogy nem fog többé idejönni, az elõzõekben felsoroltak miatt!! Feleslegesnek érzi azt, hogy a szervizvezetõ felhívja, és úgy gondolja, hogy az ügyfél ne csak addig legyen fontos amíg megvásárolja az autóját hanem utána is!!"
NMBO087242;"2021. 01. 27.";'M1192';"Nem szeretne nyilatkozni!";"Itt most nem volt javítás, csak beszállítási díjat fizette ki!!"
NMLZ111145;"2021. 01. 27.";'T1885';"Sikeres hívás, kérdõív kitöltve.";"Az lenne a megjegyzése,hogy nagyon örült, hogy az autóját gyönyörûen, tisztán kapta vissza és ez pozitívom volt számára!!!"
NMLZ111594;"2021. 01. 27.";'B1055';"Nem szeretne nyilatkozni!";"Ez a telefonszám 01.26. óta csak foglaltat jelez!!"
NMLZ111424;"2021. 01. 27.";'T1929';"Sikeres hívás, kérdõív kitöltve.";"Sajnos az átadással nem volt teljesen elégedett!! Az ülésen voltak a papírok, kulcs és kész ennyi!! Elvárta volna ,hogy elmondják mit csináltak, megmutassák!!!"
NMLM102822;"2021. 01. 27.";'B2694';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drágán dolgozik a szerviz! Ide, ha nem muszáj többé nem jön!!!"
NMLZ111583;"2021. 01. 27.";'P5264';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 01.25. óta csak foglalt jelzés jelentkezik!!"
NMLM103448;"2021. 01. 27.";'A6205';"Sikeres hívás, kérdõív kitöltve.";"Az összegnél volt 10 ezer forint eltérés, amit nem teljesen értett??!!"
NMLM103468;"2021. 01. 27.";'B4013';"Sikeres hívás, kérdõív kitöltve.";"A munkafelvevõvel nem volt teljesen elégedett!! Hívta, hogy mi újság az autóval, kinyomta aztán visszahívta!! Látni lehetett, hogy nagyon el volt havazva, futkározott, mint pók a falon!!!"
NMLZ111370;"2021. 01. 27.";'Q5669';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem elégedett!! Jelzett egy problémát (kamera hiba) azt mondták jó!! Elment egy másik Nissan szervizbe azt megrendelték  hozzá az új alkatrészt, megcsinálják!! Ezt a Gablini miért nem így csinálta??!!!"
NMBO087244;"2021. 01. 27.";'K4931';"Sikeres hívás, kérdõív kitöltve.";"A szerviz munkája kritikán aluli!! Jelzett radar problémát!! Mondja, hogy mit kellene csinálni, de csak negatívumokat jelez a munkafelvevõ kolléga!!"
NMLG029285;"2021. 01. 27.";'E6493';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem elégedett!! 20 perces munkáért fizetett 20 ezer forintot és nem csináltak semmit!! Várja, hogy a pénzét utalják vissza!!"
NMLG029238;"2021. 01. 28.";'R1182';"Sikeres hívás, kérdõív kitöltve.";"Messze van neki ez a szerviz, mert Budapesten lakik!! Sokáig tartott ez a munka!!!"
NMLM103461;"2021. 01. 28.";'B2275';"Sikeres hívás, kérdõív kitöltve.";"Más hiba kapcsán fog visszatérni!!"
NMLM103537;"2021. 01. 28.";'B5576';"Sikeres hívás, kérdõív kitöltve.";"Hétfõn megy vissza egy alkatrészért, mert nem volt raktáron és munkafelvevõ ígérte, hogy hívni fogja!!"
NMLZ111556;"2021. 01. 28.";'T1956';"Sikeres hívás, kérdõív kitöltve.";"Az lenne a megjegyzése, hogy az alkatrész, ami gyakori lehet, lehetne raktáron(vízpumpa, stb.)!!!"
NMLM102586;"2021. 01. 28.";'65535';"Sikeres hívás, kérdõív kitöltve.";"Az autó 01.29-én jön vissza!!"
NMLM103342;"2021. 01. 28.";'S0348';"Sikeres hívás, kérdõív kitöltve.";"Annyit jelezne, hogy a Peugeot Hungáriát nem lehet semmilyen formában elérni!! <br />
Elnézést kérek, de felcseréltem két rendszámot és ez a megjegyzés az RPF-444 rendszámhoz tartozik, és a másik megjegyzés pedig ide, ehhez a rendszámhoz tartozik (RFY-514)!! Köszi, bocsika!!!"
NMLZ109809;"2021. 01. 28.";'T1751';"Sikeres hívás, kérdõív kitöltve.";"Eddig minden rendben , ma folytatják a javítást!!"
NMLM103446;"2021. 01. 28.";'B5569';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem elégedett!! A határidõben jelentõs csúszás volt! Az elõzetes ár nem az volt, mint amit megbeszéltek!! Aztán korrigálás történt, valami belsõ hibára hivatkoztak!!!"
NMLM103514;"2021. 01. 28.";'A6205';"Nem szeretne nyilatkozni!";"Sajnos többször kellett visszajönnie!! Most úgy néz ki, hogy jó, de azért mérges mert a férje megfázott és belázasodott!!(Az vettem ki a szavaiból, hogy ott az M3-on fázott meg a férje?!)"
NMLM103544;"2021. 01. 28.";'A1596';"Sikeres hívás, kérdõív kitöltve.";"Annyit szeretne jelezni, hogy eddig mindig kapott értesítést, hogy éves szervizre kell mennie!! Most sem e-mailt, sem sms-t nem kapott!! Ez a dolog pedig már az elõzõ autójánál jól mûködött!!!!"
NMBO087289;"2021. 01. 29.";'K4939';"Nem szeretne nyilatkozni!";"Ilyen telefonszám nem létezik!!!!"
NMLZ110676;"2021. 01. 29.";'H6161';"Nem szeretne nyilatkozni!";"Külföldi telefonszám hívását az IP telefon nem engedélyezik!!!"
NMLG029272;"2021. 01. 29.";'E5609';"Nem szeretne nyilatkozni!";"Ez a telefonszám minden alkalommal csak foglalt jelzést ad!!"
