Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMBO087650;"2021. 05. 25.";'K4643';"Nem szeretne nyilatkozni!";"Az IP telefon nem engedélyezi a külföldi telefonszám hívását!!"
NMBO089294;"2021. 05. 25.";'K1414';"Nem szeretne nyilatkozni!";"Az IP telefon nem engedélyezi a külföldi telefonszám hívását!!"
NMBO089127;"2021. 05. 25.";'K1414';"Nem szeretne nyilatkozni!";"Az IP telefon nem engedélyezi a külföldi telefonszám hívását!!"
NMBO089330;"2021. 05. 25.";'J5986';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!"
NMLM106502;"2021. 05. 25.";'E3895';"Sikeres hívás, kérdõív kitöltve.";"A szervizfüzetbe fordítva lett beírva a dátum! <br />
Kéri,hogy a sz.vezetõ hívja fel,hogy van e ezzel kapcsolatban dolga az ügyfélnek .  A másik gondolata pedig az, hogy pont ebédidõben ment és mind a három kolléga egyszerre volt ebédelni ez nem biztos,hogy jó !! Még annyi megjegyzése lenne,hogy a céges autó esetében jó lenne ha a szerviz elmondaná,hogy milyen papírokra lenne szükség (aláirási- <br />
cégpéldány),egyéb !!"
NMBO089237;"2021. 05. 25.";'K3219';"Sikeres hívás, kérdõív kitöltve.";"Profi munkát végzett a szerviz !!"
NMBO089046;"2021. 05. 25.";'J7268';"Sikeres hívás, kérdõív kitöltve.";"A szerviz  super !!"
NMBO089303;"2021. 05. 25.";'K5166';"Nem szeretne nyilatkozni!";"Szerviz drága diagnosztikára kifizetett 36-ezer forintot ! Az ügyfelet nagyon nehéz megérteni mert akcentussal beszél !!"
NMLG030357;"2021. 05. 25.";'A0761';"Sikeres hívás, kérdõív kitöltve.";"A szerviz nagyon drága !!"
NMBO089299;"2021. 05. 25.";'K5165';"Sikeres hívás, kérdõív kitöltve.";"A bejelentkezés a honlapon elég nehézkes volt !!"
NMLM106476;"2021. 05. 25.";'K4305';"Sikeres hívás, kérdõív kitöltve.";"A szerviz tökéletes picit drága !!"
NMLG030351;"2021. 05. 25.";'C0663';"Sikeres hívás, kérdõív kitöltve.";"Az összetettebb problémáknál nem biztos, hogy megfelelõ választ kap!! Azért minden rendben volt!"
NMLG030331;"2021. 05. 25.";'E6617';"Nem szeretne nyilatkozni!";"Az ügyfél 05.21-re kért visszahívást, de azóta csak csörög!!"
NMBO087947;"2021. 05. 25.";'J8695';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrészre elég sokat kellett várni de az autó jó lett !!"
NMLG030381;"2021. 05. 25.";'C0609';"Sikeres hívás, kérdõív kitöltve.";"Már kitöltötte a kérdõívet is!!"
NMLG030385;"2021. 05. 25.";'E6596';"Sikeres hívás, kérdõív kitöltve.";"Kért árajánlatot olaj cserére, az árajánlatban nem lett beírva, hogy milyen márkájú fékbetétet, olajat, stb. tartalmaz! Azért maradt inkább csak az olajcserénél, más helyen féktárcsát(Bosch) féktárcsát tetette fel, annyi árért amennyit itt mondtak!! Többször kérte a szervizvezetõtõl, de nem kapott rá semmilyen márka jelzést!!(Az úr ezért nem tudott a 3. kérdésre számokban értékelni, én írtam be az 1-est!!)"
NMLZ113786;"2021. 05. 25.";'A6863';"Sikeres hívás, kérdõív kitöltve.";"A szerviz munkája tökéletes volt !!"
