Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLM111390;"2021. 11. 29.";'A8795';"Nem szeretne nyilatkozni!";Dolgozónk!!!
NMBO092300;"2021. 11. 29.";'H5057';"Nem szeretne nyilatkozni!";"Tilos Hívni!!"
NMLG032701;"2021. 11. 29.";'E7066';"Nem szeretne nyilatkozni!";"Azt mondta, hogy most erre nem ér rá!!!"
NMLZ116734;"2021. 11. 29.";'87113';"Nem szeretne nyilatkozni!";"Most ezt kihagyná, mert rohanás van egész nap!!!"
NMLZ116805;"2021. 11. 29.";'87113';"Nem szeretne nyilatkozni!";"Most ezt kihagyná, mert rohanás van egész nap!!!"
NMBO092866;"2021. 11. 29.";'J8134';"Sikeres hívás, kérdõív kitöltve.";"Apróságként egy kicsit hosszabb lett, mint amit megbeszéltek!!"
NMBO092833;"2021. 11. 29.";'K2481';"Sikeres hívás, kérdõív kitöltve.";"Magasak az árak!!"
NMLG032733;"2021. 11. 29.";'A6806';"Sikeres hívás, kérdõív kitöltve.";"Van egy rádió problémája, és az elõzõ szerviz után nem úgy mûködött, mint ahogyan kellett volna! Most is jelezték, de nem csináltak vele semmit, most sem!!"
NMLG032547;"2021. 11. 29.";'E7042';"Sikeres hívás, kérdõív kitöltve.";"Vissza kell mennie, mert ma reggel(11.29.) nem indult az autója, ugyanazt a hibát írta ki!!!"
NMLM111299;"2021. 11. 29.";'A8170';"Sikeres hívás, kérdõív kitöltve.";"Több infót szeretett volna kapni az akkumulátorról, amit szóban elmondtak azt lehetne-e írásban is kérni!! Kérdése, hogy lehet-e regisztrálni az akkumulátort(ezt valakitõl hallotta)! Kérem, hogy erre az e-mail címre küldjétek az infót, illetve az írásos véleményt az autóról!E-mail címe: hagy974@gmail.com!! Az ügyfelet különben ÚJSZÁSZI SÁNDOR-nak hívják, kérlek javítsátok ki!!!"
NMLM111300;"2021. 11. 29.";'B5288';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága a szerviz!!! Garanciális munka miatt megy majd vissza, értesíteni fogják!!"
NMLZ116869;"2021. 11. 29.";'T2673';"Sikeres hívás, kérdõív kitöltve.";"Nem jól lett megcsinálva a csomagtérajtó, ezért kellett visszamennie!! Az elsõ szélvédõre írtak három betût és ez elég zavaró!! Illetve a karosszérián több ponton van egy kicsi pötty!! "
NMLG032736;"2021. 11. 29.";'C0958';"Sikeres hívás, kérdõív kitöltve.";"Pontosak és precízek voltak!!"
NMLG032730;"2021. 11. 29.";'C1182';"Nem szeretne nyilatkozni!";"Inkább kitölti a net-en, amit kapott kérdõívet!!"
NMLG032744;"2021. 11. 29.";'E5717';"Sikeres hívás, kérdõív kitöltve.";"Az assistance biztosítás hosszabbításra nem jó rendszámot tüntettek fel!  A kerékcserénél viszont jó rendszámot írtak! Ez figyelmetlenség, ezért pontot nem von le, és azért még megy vissza a szervizbe!!"
NMLG032712;"2021. 11. 29.";'E7067';"Nem szeretne nyilatkozni!";"A hölgy azt mondta, hogy minden nap 8-18-ig dolgozik csak utána jó neki!!!"
NMLG032710;"2021. 11. 29.";'C1116';"Sikeres hívás, kérdõív kitöltve.";"Egy dolgot elfelejtettek megcsinálni ezért másnap visszament!!"
NMBO092879;"2021. 11. 29.";'M0684';"Sikeres hívás, kérdõív kitöltve.";"Az a problémája, hogy vidékrõl érkeztek és kérték, hogy a lehetõ legrövidebb idõn belül kész legyen az autó, és ebben az idõben (járvány helyzet miatt) nem megy az ember shoppingolni!! Nem biztosítottak a prémium márkának megfelelõ szolgáltatást,(külön helyiség, stb.) Különben öt óra hosszáig vártak a többi emberrel egy helyiségben, illetve kint az udvaron!! Nem elégedett, máskor mindig 10-es értékelést adott, de most nem!!"
NMBO092840;"2021. 11. 29.";'K5495';"Sikeres hívás, kérdõív kitöltve.";"Egy ajánlás útján jött ide hozzánk és nagyon bizakodó volt, de nagyon nagyon elhúzódott 6 hétig nem volt autója, és semmilyen információt nem kapott, nem hívták vissza, nem kapott bérautót, nem tájékoztatták semmirõl és négy hét után mondták, hogy hozhatja az autót, de az autó az már ott volt!! Nagyon nem volt elégedett(váltó cserés volt az autó)!! Azonban szeretné kiemelni a Szoták Bálint munkafelvevõt, mert onnantól  hogy Õ átvette az ügyét minden rendben ment! "
NMLM111320;"2021. 11. 29.";'B6590';"Nem szeretne nyilatkozni!";"Az ügyfél még 12.03-án megy vissza a szervizbe és utána majd értékel!!"
