Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLZ113187;"2021. 04. 19.";'S6149';"Nem szeretne nyilatkozni!";"Érdemi információt nem tud adni, mert nem Õ járt bent a szervizben, de nem panaszkodtak neki!!!"
NMLG029960;"2021. 04. 19.";'C0683';"Sikeres hívás, kérdõív kitöltve.";"Teljes mértékben elégedett, minden a megbeszéltek szerint zajlott!!!"
NMLG029613;"2021. 04. 19.";'C0726';"Nem szeretne nyilatkozni!";"Jelenleg még a szervizben van, de folyamatos tájékoztatást soha nem kap, mindig Õ érdeklõdik az autó felõl!! Szeretné, hogy most már Õt hívják és ne Õ telefonáljon!!"
NMLM105433;"2021. 04. 19.";'B4639';"Sikeres hívás, kérdõív kitöltve.";"Más munka kapcsán fog még visszamenni!!"
NMLZ112788;"2021. 04. 19.";'R1024';"Nem szeretne nyilatkozni!";"Ezen a telefonszám K K Hotel jelentkezik, és nincs ilyen típusú autójuk, se ilyen nevû dolgozójuk!!!!"
NMLM105468;"2021. 04. 19.";'R1286';"Sikeres hívás, kérdõív kitöltve.";"Szerdai napon megy vissza az alkatrész miatt!!"
NMBO088488;"2021. 04. 19.";'J7530';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem teljesen elégedett!! Az idõpont egyeztetésnél voltak problémák! A másik problémája, hogy ha már az autó ott van és esedékes az éves szerviz, miért nem kérdezi meg a kolléga, hogy megcsináljuk-e, vagy a gumi átszerelést megcsináljuk-e???"
NMBO088340;"2021. 04. 19.";'A7140';"Sikeres hívás, kérdõív kitöltve.";"Az akkumulátorral kapcsolatban hiányos információkat kapott kapott!!!"
NMBO088486;"2021. 04. 19.";'K2260';"Sikeres hívás, kérdõív kitöltve.";"Szeretné megjegyezni, hogy a munkadíj többe került, mint az alkatrész!!!"
NMLZ112770;"2021. 04. 19.";'Q1529';"Nem szeretne nyilatkozni!";"Telefonon nem szeretne értékelni, kérte küldjük el e-mailben!!!!"
NMBO088518;"2021. 04. 19.";'U0109';"Sikeres hívás, kérdõív kitöltve.";"Annyit mondana,  hogy a gumi átszerelés nem tarthat 20 óra 20 percig, mert ez nagyon hosszú idõ!!!"
NMLG029958;"2021. 04. 20.";'C1305';"Nem szeretne nyilatkozni!";"Ez a telefonszám 04.16. óta csak csörög, így elérhetetlen!!"
NMBO088189;"2021. 04. 20.";'K2472';"Sikeres hívás, kérdõív kitöltve.";"Amióta van az új szervizvezetõ azóta teljesen rendben van minden!!"
NMBO088535;"2021. 04. 20.";'M0969';"Sikeres hívás, kérdõív kitöltve.";"Más munka kapcsán(gumicsere), és nagyon megvolt elégedve a munkafelvevõvel!!"
NMBO088589;"2021. 04. 20.";'J7163';"Nem szeretne nyilatkozni!";"Egy hölgy vette fel és azt mondta, hogy Õ Szeghalmi-nak hívják és ez az autó már nem az Õvék!! Ezt a telefonszámot már tavaly 2020.06.08-án is hívtam és ugyanez volt a helyzet!! Miért nem egyeztet telefonszámot a munkafelvevõ, amikor ott áll elõtte az ügy"
NMLM105425;"2021. 04. 20.";'B5819';"Sikeres hívás, kérdõív kitöltve.";"Kicsit drágállja a szervizt!!"
NMLM105521;"2021. 04. 20.";'B3300';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél a munkafelvevõre 4-es értékelést adott!! Másodjára fordult elõ, hogy úgy hozták el az autót, hogy másnap hibaüzenet volt a mûszerfalon!! Nem fér bele az idejébe, hogy visszavigye és így a férje fog még rátölteni olajat!! Érdemes lenne egy kicsit több olajat tölteni bele!! A hölgy(ezen a számon beszéltem) különben érdeklõdött, hogy mikor lesz nálunk a szalonban az új Hyundai Ioniq??"
NMLM105506;"2021. 04. 20.";'B5535';"Sikeres hívás, kérdõív kitöltve.";"Jó lenne, ha a jövõben amennyiben erre a típusra van kampány munka akkor elõre kiértesítenék, mert most a gumicsere kapcsán szóltak neki!!!"
NMLM105536;"2021. 04. 20.";'R0200';"Nem szeretne nyilatkozni!";"Õ munkaidõben semmikor nem tud beszélni! Ugyanez volt a helyzet 04.06-án akkor is letette rám a telefont, mert nem ért rá!!"
NMLM105528;"2021. 04. 20.";'R0672';"Sikeres hívás, kérdõív kitöltve.";"Nem volt nyitva a büfé!!"
NMLZ113075;"2021. 04. 20.";'R0941';"Nem szeretne nyilatkozni!";"Visszahívtam a megbeszélt idõpontban(14:00), de nem vette fel!!!"
NMLM105310;"2021. 04. 20.";'B2981';"Sikeres hívás, kérdõív kitöltve.";"Nem tudja, hogy a navigáció frissítést a szerviz elvégezte-e?! Hívja majd a kollégát!!"
NMLM104996;"2021. 04. 20.";'P9350';"Sikeres hívás, kérdõív kitöltve.";"Nagyon hosszú volt a javítás ideje majdnem 6 hét, de a szerviz megtett mindent!!"
NMLM105486;"2021. 04. 20.";'A9425';"Nem szeretne nyilatkozni!";
NMLM104792;"2021. 04. 20.";'A4920';"Nem szeretne nyilatkozni!";"Sajnos az autó nem lett jó! Kérték, hogy hozza magával a kiszerelt alkatrészeket, mert vizsgálódik tovább a szerviz, hogy mi lehet a hiba!!!"
NMLG029984;"2021. 04. 20.";'E6096';"Sikeres hívás, kérdõív kitöltve.";"Telefonon szóba került mibe fog kerülni, és mondták hogy kb. 90 ezer forint!! Mikor a pénztárhoz ért már 101 ezer forint lett! Ezt szóvá tette és rögtön 90 ezer forint lett! Ez nem tetszett az ügyfélnek, mert olyan lehúzás szaga volt!! Van egy légzsák kampány, illetve egy garanciális javítás még függõben!! "
NMBO088572;"2021. 04. 20.";'K3871';"Sikeres hívás, kérdõív kitöltve.";"Maximális volt és minden fantasztikus!!!"
NMBO088576;"2021. 04. 20.";'K3496';"Sikeres hívás, kérdõív kitöltve.";"Légzsák kampányra jön vissza csütörtökön!"
NMBO088550;"2021. 04. 20.";'J7705';"Nem szeretne nyilatkozni!";
NMBO088565;"2021. 04. 20.";'J5168';"Sikeres hívás, kérdõív kitöltve.";"Azért adott 6-os értékelést mert az az idõ amit a gumi átszerelésen az autó eltöltött az nagyon hosszú volt!!!"
NMLM105479;"2021. 04. 21.";'56698';"Nem szeretne nyilatkozni!";"Néhai dolgozónk!!!"
NMLZ113259;"2021. 04. 21.";'T2153';"Sikeres hívás, kérdõív kitöltve.";"Sok mindenre még neki kellett rákérdeznie(pl. tempomat), és vissza kellett mennie, a tájékoztatás nem volt megfelelõ!!"
NMLZ112019;"2021. 04. 21.";'T2176';"Nem szeretne nyilatkozni!";"Ez a telefonszám a biztosítóé, és nem tudott a kezelõ hölgy segíteni, mert valamelyik ügyfelek járt a szervizben!!"
NMLM105594;"2021. 04. 21.";'R1175';"Sikeres hívás, kérdõív kitöltve.";"Jóval tovább tartott a szerviz, de egy órával késõbb tájékoztatták, hogy még egy óra, de utána még egy óra eltelt!! Kampány munka miatt fog még visszamenni!!"
NMBO088342;"2021. 04. 21.";'K5084';"Sikeres hívás, kérdõív kitöltve.";"Iszonyat drága a szerviz, ezért adott 5-ös értékelést, mert ez neki ez sok!!"
NMLM105471;"2021. 04. 21.";'S9469';"Sikeres hívás, kérdõív kitöltve.";"A munkafelvevõvel együtt kimentek az autóhoz körbenézte, befóliázta a kormányt, és az ülésre nejlont tett, majd amikor kész lett az autó együtt mentek ki újból az autóhoz!!!"
NMBO088584;"2021. 04. 21.";'K5109';"Sikeres hívás, kérdõív kitöltve.";"Nem mûködött a nyomtató a pénztárban! A rendszergazda az legyen kéznél és nem telefonon kérjen segítséget, mert kb. 10 percet várt és még sem kapott számlát, azt ígérték majd elküldik postán!! A munkafelvevõvel maximálisan megvolt elégedve!!"
NMBO082805;"2021. 04. 21.";'S2571';"Nem szeretne nyilatkozni!";"Az elsõ mobilszám azért nem jó, mert nem Õ jár ezzel az autóval, a második mobilszámon pedig elõfizetõ nem kapcsolható, a harmadik mobilszám pedig az Mol központi száma!!"
NMLM105470;"2021. 04. 21.";'66546';"Sikeres hívás, kérdõív kitöltve.";"Vetteik is nálunk négy autót, mindennel maximálisan elégedettek voltak!!"
NMLM105241;"2021. 04. 21.";'54980';"Nem szeretne nyilatkozni!";"Sajnos a Peugeot nem fogadta el a garanciában való javítást, és ezért nagyon sokba került a javítás!!!"
NMBO088585;"2021. 04. 21.";'S0249';"Sikeres hívás, kérdõív kitöltve.";"Minden szuper volt és tökéletes!!"
NMBO088533;"2021. 04. 21.";'K2887';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága a szerviz!!!"
NMLM105438;"2021. 04. 21.";'B5821';"Sikeres hívás, kérdõív kitöltve.";"A munkafelvételi pultnál 15-20 percet várt, mert nem volt ott senki!!!"
NMBO088379;"2021. 04. 21.";'K0070';"Nem szeretne nyilatkozni!";
NMBO088390;"2021. 04. 21.";'K3321';"Sikeres hívás, kérdõív kitöltve.";"Nagyon pozitív, hogy a munkafelvevõ kimegy az autóhoz és körbenézi, de ezt tehetné az ügyféllel együtt!!"
NMBO088616;"2021. 04. 22.";'K3173';"Nem szeretne nyilatkozni!";"Az IP-telefon nem engedélyezi a külföldi telefonszámok hívását!!"
NMLM105517;"2021. 04. 22.";'M1344';"Nem szeretne nyilatkozni!";"Ez a telefonszám 04.20.óta csak csörög, így elérhetetlen!!!"
NMLM105477;"2021. 04. 22.";'R0868';"Nem szeretne nyilatkozni!";"Ez a telefonszám 04.19. óta csak csörög, így elérhetetlen!!"
NMBO088615;"2021. 04. 22.";'M1077';"Nem szeretne nyilatkozni!";"Itt az ügyfél a hozom-viszem szolgáltatásunkat vette igénybe (már másodszorra, ezért számokban nem tud értékelni) és teljesen meg volt elégedve mindennel!!"
NMLM105578;"2021. 04. 22.";'R0901';"Sikeres hívás, kérdõív kitöltve.";"Tavaly jóval kevesebbet(78 ezer) fizetett, és ez most már minden évben így lesz, hogy emelkedni fog!?? A munkatársakkal viszont megvolt elégedve!!!"
