Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLZ117258;"2021. 12. 13.";'P7878';"Nem szeretne nyilatkozni!";"Már egy hete várja, hogy küldjék a számlát, elvileg úgy gondolná, hogy akkor kell hogy kapjon számlát amikor a munkát befejezték!!"
NMLM111680;"2021. 12. 13.";'95925';"Sikeres hívás, kérdõív kitöltve.";"Az úr elmondta, hogy már a 13. éve jár hozzánk!!!"
NMLM111774;"2021. 12. 13.";'B6267';"Sikeres hívás, kérdõív kitöltve.";"Sokat kellett volna várni a mosásra és így sajnos nem lett lemosva az autó!!"
NMBO090807;"2021. 12. 13.";'K5341';"Sikeres hívás, kérdõív kitöltve.";"Négy hónapot kellett várni, ez rossz tapasztalat volt részérõl!!!"
NMLG032948;"2021. 12. 13.";'C0634';"Sikeres hívás, kérdõív kitöltve.";"Õk 50 km-rõl jönnek és két autóval jönnek, mivel 3-4 órát kell ott tölteni, és erre valami megoldást lehetne találni!!"
NMLG032957;"2021. 12. 13.";'E6432';"Sikeres hívás, kérdõív kitöltve.";"Elég bizalmatlanok az emberek, a megrendelõ ha már kifizet ennyi pénzt, akkor tájékoztassák és hagy láthassa, hogy mit cseréltek ki rajta!! Ügyfélvárót kellene csinálni, hogy láthatnák, hogy mit csinálnak az autóval!! Van egy olyan tétel, amit nem tud és nem volt nevesítve és ez kb. 20 ezer forintos tétel!"
NMBO093348;"2021. 12. 13.";'K5650';"Sikeres hívás, kérdõív kitöltve.";"Meglepõdött az összegen, mert 70 ezer forintot fizetett, jócskán felment az ár, és ezt nem mondták elõre, hogy mennyibe fog kerülni! Jó lenne az összeget ügyféllel elõre közölni!!!"
NMLM111027;"2021. 12. 13.";'R1338';"Sikeres hívás, kérdõív kitöltve.";"A kapcsolattartással vannak gondjai, mert azt gondolja, hogy nem neki kellene hívogatni a céget, hanem nekik kellene telefonálni az ügyfélnek!! Az ígérték, hogy visszahívják már két két és fél hete, hogy a zuglói szervizbe menjen, nem hívták még vissza!! Tóth Lászlóval beszélt, és azt mondta, hogy megbeszéli a szervizvezetõvel!!"
NMLM110716;"2021. 12. 13.";'R1338';"Sikeres hívás, kérdõív kitöltve.";"A kapcsolattartással vannak gondjai, mert azt gondolja, hogy nem neki kellene hívogatni a céget, hanem nekik kellene telefonálni az ügyfélnek!! Az ígérték, hogy visszahívják már két, két és fél hete, hogy a zuglói szervizbe menjen, nem hívták még vissza!!Tóth Lászlóval beszélt, és azt mondta, hogy megbeszéli a szervizvezetõvel!!"
NMLZ116854;"2021. 12. 13.";'Q8746';"Nem szeretne nyilatkozni!";"Most nem szeretne majd késõbb nyilatkozna, mert mai napon vitte vissza az autót, mert nem csináltak meg mindent!!"
NMLZ117578;"2021. 12. 13.";'Q8746';"Nem szeretne nyilatkozni!";"Most nem szeretne majd késõbb nyilatkozna, mert mai napon vitte vissza az autót, mert nem csináltak meg mindent!!"
NMBO093288;"2021. 12. 13.";'K5610';"Nem szeretne nyilatkozni!";"A hölgy jelentette be az autót, de nem az Övé, hanem a fõnöke autója és a telefonszámát nem adhatja meg!!!"
NMLG032949;"2021. 12. 13.";'E6905';"Nem szeretne nyilatkozni!";"A hölgyet hívtam a megbeszélt idõben, de nem vette fel, majd késõbb egy csörgetés után kinyomott!!"
NMLZ117789;"2021. 12. 13.";'B5408';"Nem szeretne nyilatkozni!";"Csak akkor nyilatkozik, hogy ha megnézik, hogy neki három évre elõre ki van fizetve a szervize, mert volt egy olyan opció amikor megvette ezt azt autót és Õ akkor ezt kifizette!!"
NMLZ117779;"2021. 12. 13.";'P8629';"Sikeres hívás, kérdõív kitöltve.";"Van valami olyan hibája, amit nem találtak meg, és a hiba azóta is fennáll, valószínû ez az autó hibája!!"
NMLZ117768;"2021. 12. 13.";'Q2912';"Sikeres hívás, kérdõív kitöltve.";"Úgy hozta el, hogy nem mosták le, nem töltötték fel téli ablakmosóval és ez 126 ezer forintba nem fért bele!!! Nagyon csalódottan jött el, nem egy reklamálós ember, de nem ehhez szokott hozzá(már több, mint 4 éve hozzánk jár)! Voltak kérdései és arra sem kapott semmi választ!!! Azért viszi el a szervizbe az autóját, hogy ott megnézzék és informálják az állapotáról!! A munkafelvevõ életuntak tûnt, nem volt egyáltalán kedves!! Azt mondták, hogy 60 nap a garancia a vírus helyzet miatt, és ennek ellenére azt mondták, hogy majd a Nissan elbírálja!!"
NMLZ117781;"2021. 12. 13.";'Q3980';"Nem szeretne nyilatkozni!";"Nem értékel, mert csúnyákat mondani, és valószínû, hogy én nem erre vagyok kíváncsi!!"
NMLM111066;"2021. 12. 13.";'B3026';"Sikeres hívás, kérdõív kitöltve.";"A kocsinak lökhárítójának van egy meghúzás, amire egyáltalán nem emlékezett, de most már ezt teljesen felesleges reklamálni, mert nem nézték meg az átvétel elõtt és az átvétel után az autót, csak másnap vette észre a felesége!! Ezek után most már Õ fog jobban figyelni!!"
NMLM111767;"2021. 12. 13.";'M1517';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem volt büfé, mivel megvárta!!"
NMBO093277;"2021. 12. 13.";'Q4240';"Nem szeretne nyilatkozni!";"A hölgy jelenleg Írországban van!!"
NMLZ117869;"2021. 12. 14.";'T2806';"Sikeres hívás, kérdõív kitöltve.";"próbautat hiányolta, de amúgy elégedett, az autót megvette"
NMBO093371;"2021. 12. 14.";'U0228';"Sikeres hívás, kérdõív kitöltve.";"bérautónak örült volna, de sajnos nem volt. Somodi Sándor munkafelvevõ kollégával nagyon elégedett volt."
NMBO093267;"2021. 12. 15.";'J3309';"Nem szeretne nyilatkozni!";"Egyetlen egy gondja van!  Amit nem igazán ért, hogy korábban egy bizonyoson kor elérte után kapott kedvezményt, és ez egy ideje már eltûnt!! Pedig már 11 éve idejár az autóval, és egy gesztus lenne a régi ügyféllel szemben!! Elvégzett munka minõségével se"
NMLM111081;"2021. 12. 15.";'R1371';"Nem szeretne nyilatkozni!";"Vettek két darab autót vettek és az egyik a mai napon reggel nem indult, és az assistance indította be, de már beszélt a szervizzel, de sajnos csak az ünnepek utánra volt már csak hely!!"
NMLZ117746;"2021. 12. 15.";'S2698';"Sikeres hívás, kérdõív kitöltve.";"Az árképzésünkön kellene változtatni, kritikán aluli milyen magasak az árak! A jövõben ezért nem fog ide jönni!!"
NMLZ117252;"2021. 12. 15.";'T2715';"Sikeres hívás, kérdõív kitöltve.";"Köszöni, hogy közben jártak a Citroënnél!!"
NMLZ117698;"2021. 12. 15.";'Q6384';"Sikeres hívás, kérdõív kitöltve.";"Egy casco javításnál nem rendelik meg addig az alkatrészt, amíg a biztosító engedélyét nem adja meg, és ezért Õ vesztett egy hetet!!"
NMLM111928;"2021. 12. 15.";'A9537';"Sikeres hívás, kérdõív kitöltve.";"Nagyon nehéz onnan kijutni a városba, nem jár semmi busz!!"
NMBO093179;"2021. 12. 15.";'P2810';"Sikeres hívás, kérdõív kitöltve.";"Nem minden mûveletet hajtottak végre, ezért kell visszamenni majd januárban!!"
NMBO093250;"2021. 12. 15.";'M0775';"Sikeres hívás, kérdõív kitöltve.";"Az ügyfél azt mondta, hogy írjam be, minden szép és jó volt!!"
NMLZ117740;"2021. 12. 15.";'S4528';"Sikeres hívás, kérdõív kitöltve.";"Nem találták az idõpontot a rendszerben, pedig elõzõ nap foglalta!! Ezzel elég sok idõ elment, és körülményes lett és aztán tényleg  megtalálták az idõpontját!! Egy másik munka kapcsán, amit ígértek azt nem kapta meg, de másnap egyáltalán nem volt elérhetõ a szerviz!! Aztán valaki mégis visszahívta és megcsinálták az autót! Azt azért szeretné elmondani, hogy a kollégától teljes körû tájékoztatást kapott, nagyon segítõ kész volt!!!"
NMBO093298;"2021. 12. 15.";'K5645';"Nem szeretne nyilatkozni!";"Egy úr vette fel és csak angolul beszél!!"
NMBO093304;"2021. 12. 15.";'K5646';"Sikeres hívás, kérdõív kitöltve.";"Külföldrõl lett behozva garancia nincs, mert nem lett szervizelve és igazából ez a nagy bánata!!"
NMBO093302;"2021. 12. 15.";'K5648';"Nem szeretne nyilatkozni!";"Szervizvezetõtõl vár egy visszaigazolást illetve leírást az autóról, mert szeretnék a magyarországi garanciát érvényesíteni!!! Eddig ez nem érkezett meg! Az úr már telefonált egy hölggyel beszélt és Õ is megígérte, hogy utána néz és szól a szervizvezetõne"
NMBO093300;"2021. 12. 15.";'P7150';"Nem szeretne nyilatkozni!";"Az ügyfél azt mondta, hogy már online kitöltötte ezt a kérdõívet!!"
NMLZ117813;"2021. 12. 15.";'A0091';"Sikeres hívás, kérdõív kitöltve.";"A reggeli ajánlat, délutánra drágább lett és ez nagyon zavaró volt számára!!! Nem lett lemosva az autó sem!!"
