Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLG026886;"2020. 05. 11.";'E1686';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.07. óta ""Nem elérhetõ"", így elérhetetlen!!!"
NMLG026915;"2020. 05. 11.";'E5872';"Sikeres hívás, kérdõív kitöltve.";"Emailt akart írni a KIA képviseletnek, hogy egy olajcserére miért kötelezõ a márkaszervizbe mennie, miért nem lehet máshová, hogy megmaradjon ugyanúgy a garancia?!!"
NMLG026918;"2020. 05. 11.";'E6108';"Sikeres hívás, kérdõív kitöltve.";"A lényeget sajnos nem sikerült megoldani, de ez nem a mi hibánk!!!"
NMLG026924;"2020. 05. 11.";'17120';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!!!!"
NMLG026930;"2020. 05. 11.";'C0928';"Nem szeretne nyilatkozni!";"Azért nem tud értékelni, mert nem Õ vitte be az autót a szervizbe, de a tudomása szerint minden rendben volt!!!"
NMLG026939;"2020. 05. 11.";'E6112';"Sikeres hívás, kérdõív kitöltve.";"Annyi van, hogy amikor a szervizbe ment akkor a mûszerfalon kigyulladt egy kis lámpa! Most pedig elég sok lámpa világit, valószínû felhívja a szervizt!!!"
NMLM096783;"2020. 05. 11.";'B3187';"Nem szeretne nyilatkozni!";"Most nem szeretne értékelni!!!"
NMLM096785;"2020. 05. 11.";'R0788';"Sikeres hívás, kérdõív kitöltve.";"Amikor múlt héten reggel fél nyolcra ment és hosszúra nyúlt a szerviz(3 óra)!!"
NMLM096859;"2020. 05. 11.";'B2012';"Sikeres hívás, kérdõív kitöltve.";"Más nem sürgõs munkával kapcsolatban fog visszatérni!"
NMLM096893;"2020. 05. 11.";'B1818';"Sikeres hívás, kérdõív kitöltve.";"Magasak az árak!!!"
NMLM096825;"2020. 05. 11.";'A9313';"Sikeres hívás, kérdõív kitöltve.";"Holnapi nap folyamán visszatér a szervizbe!!"
NMBO082285;"2020. 05. 11.";'K2410';"Sikeres hívás, kérdõív kitöltve.";"Szeretné jelezni, hogy az autót leadta szervizre és szélvédõ cserére! Ebbõl csak a szerviz lett megoldva, és elég béna dolog a Gablini szerviz részérõl, hogy két fajta dolgot egyszerre nem tud megoldani!!!"
NMBO082284;"2020. 05. 11.";'K0532';"Nem szeretne nyilatkozni!";"Az autó még nálunk van, utána majd nyilatkozik!!!"
NMLM096854;"2020. 05. 11.";'B3137';"Sikeres hívás, kérdõív kitöltve.";"Amit tapasztalt, hogy a munkafelvevõtõl több türelmet vár volna el!!!"
NMLG026358;"2020. 05. 11.";'E6036';"Nem szeretne nyilatkozni!";
NMBO082271;"2020. 05. 11.";'K1677';"Sikeres hívás, kérdõív kitöltve.";"Annyit mondana, hogy a szerviz során a ráfutás végzõ rendszert frissítették, de sajnos nem lett jó!! Jelezte, hogy legyen nyoma, jövõ hónapban megy vissza és majd akkor is jelzi!!!"
NMLM096798;"2020. 05. 11.";'B1090';"Sikeres hívás, kérdõív kitöltve.";"A munkafelvevõ kollégának elég fura, érdekes a stílusa!!!"
NMBO082243;"2020. 05. 11.";'K3613';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága a szerviz, és nem érti, hogy miért kell fékolajat cserélni egy kevés kilométert futott autóban???!!!"
NMLM096811;"2020. 05. 11.";'B3229';"Sikeres hívás, kérdõív kitöltve.";"Nagyon jól esett, hogy az autóját lemosták, külön dicséret!!!"
NMBO082195;"2020. 05. 11.";'J4645';"Nem szeretne nyilatkozni!";
NMLM096849;"2020. 05. 12.";'R0967';"Nem szeretne nyilatkozni!";"Ez az úr 05.08-án még aznapra kért visszahívást, de azóta csak csörög!!!!"
NMBO082218;"2020. 05. 12.";'S2571';"Nem szeretne nyilatkozni!";"Flottakezelõ hölggyel beszéltem és azt mondta, soha semmilyen negatív visszajelzés nem szokott érkezni a cégünkrõl!!!"
NMLM096806;"2020. 05. 12.";'B1590';"Sikeres hívás, kérdõív kitöltve.";"Kis csúszás volt, de az belefért!!!"
NMLM096881;"2020. 05. 12.";'66311';"Sikeres hívás, kérdõív kitöltve.";"Jó lett volna, ha a munkafelvevõ felajánlja, hogy hív számára egy taxit!!!!"
NMLM096887;"2020. 05. 12.";'B4688';"Sikeres hívás, kérdõív kitöltve.";"Méltányossági alapon kérte, hogy a teljes összegtõl tekintsenek el, és ezt teljesítették!"
NMLM096817;"2020. 05. 12.";'K0290';"Nem szeretne nyilatkozni!";"Az autó nem mûködik és visszavitte a szervizbe az autót, tehát javítás alatt van még!!!"
NMBO082236;"2020. 05. 12.";'J5241';"Sikeres hívás, kérdõív kitöltve.";"Sokáig tartott az átszerelés!!!"
NMBO082320;"2020. 05. 12.";'M1154';"Nem szeretne nyilatkozni!";"Az úr a mai napra kért visszahívást, de a mai napon már két alkalommal hangposta jelentkezett!!!"
NMBO082312;"2020. 05. 12.";'K1889';"Sikeres hívás, kérdõív kitöltve.";"Az árral és a határidõvel nem  volt teljesen elégedett!!!"
NMLM096052;"2020. 05. 12.";'E4923';"Sikeres hívás, kérdõív kitöltve.";"A kommunikációban érzett egy kis hiányosságot, illetve a munkafelvevõ elég furcsán viselkedett!!!"
NMLM096880;"2020. 05. 12.";'B3355';"Nem szeretne nyilatkozni!";"Nem szeretne értékelni, a javítás még folyamatban!!"
NMLM096424;"2020. 05. 12.";'B1195';"Sikeres hívás, kérdõív kitöltve.";"Annyit jelezne, hogy a hozom-viszem szolgáltatás csillagos 10-es, szuper!!!"
NMLM096078;"2020. 05. 12.";'B4615';"Sikeres hívás, kérdõív kitöltve.";"A javítás egy kicsit tovább tartott!!!"
NMLM096883;"2020. 05. 12.";'B3218';"Sikeres hívás, kérdõív kitöltve.";"Itt a hozom-viszem szolgáltatást vette igénybe! Kért a kollégától igazolványt, hogy valóban a Gablini cég dolgozója-e?! Ebbõl volt egy kis konfliktus! A jövõben - amennyiben marad ez a szolgáltatás - a cég igazolványt adhatna ki, mert ugye az ördög nem alszik! (Csak zárójelben írom, hogy az ügyfél hölgy bírónõ!)"
NMLM096874;"2020. 05. 12.";'B2893';"Nem szeretne nyilatkozni!";"Még nem tud nyilatkozni, mert figyeli, hogy jó-e!? Arra kért az ügyfél, hogy egy hét múlva hívjam, de nem tudok egy hetet bejelölni! Kérlek az ügyfelet rakjátok vissza 2020.05.19-re a felhívandó ügyfelek közés!!!!"
NMLG026942;"2020. 05. 12.";'A9549';"Sikeres hívás, kérdõív kitöltve.";"Valami gondja van a start-stop rendszerrel és hívni fogja a munkafelvevõt!!"
NMLZ106554;"2020. 05. 12.";'Q8556';"Sikeres hívás, kérdõív kitöltve.";"A hozom-viszem szolgáltatás 10 pluszos, fantasztikus!!!"
NMLZ106576;"2020. 05. 13.";'Q1094';"Nem szeretne nyilatkozni!";DOLGOZÓNK!!!
NMLM096965;"2020. 05. 13.";'B4697';"Sikeres hívás, kérdõív kitöltve.";"Nagyon-nagyon szimpatikusak voltak, és rugalmasak, megvolt elégedve!!!"
NMLG026956;"2020. 05. 13.";'E5630';"Nem szeretne nyilatkozni!";"Már harmadszor volt szervizeltetni és már kérte, hogy átutalással szeretne fizetni, és még mindig nincs elintézve ez a dolog, és ezért nem töltötte ki az e-mailes megkeresést sem! Most is készpénzzel kellett fizetnie!!!"
NMBO080056;"2020. 05. 13.";'S0356';"Sikeres hívás, kérdõív kitöltve.";"Sajnos azzal nem elégedett, hogy alkatrészre egy hónapot kell várni, csereautót nem tud biztosítani a Gablini cég csak 12.500,- Ft + Áfa-ért, ez nagyon negatív, a munkafelvevõ Ágnes hozzáállása viszont pozitív volt számára!!!"
NMLM096526;"2020. 05. 13.";'B3074';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem elégedett!! Pont azt nem csinálták meg amit kért pedig elõre kifizette az ablaktörlõ lapátokat!! Vissza kellett mennie, és a stílus elég flegma volt, sokat várt!! Sajnos ez nem sikerült, elégedetlen volt!"
NMLM096901;"2020. 05. 14.";'B1236';"Sikeres hívás, kérdõív kitöltve.";"Az autó most is ott van a szervizben, de más munkából kifolyólag!!!"
NMLZ106491;"2020. 05. 14.";'Q4519';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 05.07. óta csak foglalt jelzés jelentkezik, így elérhetetlen!"
NMLM096908;"2020. 05. 14.";'Q1538';"Sikeres hívás, kérdõív kitöltve.";"Az elsõ kérdésre az úr nem adott egyértelmûen értékelést adni, de azt mondta, hogy minden maximálisan rendben volt!!!"
NMBO082346;"2020. 05. 14.";'M1338';"Nem szeretne nyilatkozni!";"Nem sok minden jót tudna mondani, inkább nem nyilatkozik!! Tessék kicsit körbe nézni, hogy mások, hogyan csinálják ezt, illetve ahogyan kinéz az egész!! Ezt mondta nekem az úr és elköszönt!!!"
NMLM096946;"2020. 05. 14.";'A9896';"Sikeres hívás, kérdõív kitöltve.";"Sajnos a jármû tisztasága nem lett elvégezve, csak akkor amikor ezt szóvá tette!!!"
NMLZ102841;"2020. 05. 14.";'B3293';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrészre hónapokat kellett várni és ez nagyon negatív!"
NMLZ106270;"2020. 05. 14.";'K0144';"Nem szeretne nyilatkozni!";"Sajnos a javítás hat hónapig tartott, és nem elégedett!! Sajnos csereautót nem tudott biztosítani a Gablini cég vagy a NISSAN, ezt nem tudni!!!"
NMBO082333;"2020. 05. 14.";'K4247';"Nem szeretne nyilatkozni!";"Sajnos nem elégedett, fizetett 120 ezer forintot és a sávelhagyás már megint nem mûködik! Valószínû vissza fog menni!!"
NMBO082068;"2020. 05. 14.";'K3839';"Nem szeretne nyilatkozni!";"Külföldi telefonszám hívását az IP telefon nem engedélyezi!!!"
NMLM097021;"2020. 05. 15.";'88061';"Sikeres hívás, kérdõív kitöltve.";"A beléptetõ kapu elég furcsa!!"
NMLZ106620;"2020. 05. 15.";'17120';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!!!!"
NMBO082386;"2020. 05. 15.";'27907';"Sikeres hívás, kérdõív kitöltve.";"További munkákra kapott ajánlatot!!!"
NMLG026873;"2020. 05. 15.";'B1359';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.11. óta csak csörög, így elérhetetlen!!"
NMLM096896;"2020. 05. 15.";'A9726';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.12. óta csak csörög, így elérhetetlen!!"
NMLZ105953;"2020. 05. 15.";'Q5144';"Sikeres hívás, kérdõív kitöltve.";"Amit eddig munkát elvégeztek azzal elégedett, de még alkatrészre vár pedig ez a baleset már novemberben történt!! Nagyon drága a szerviz!!!"
NMLZ106444;"2020. 05. 15.";'S7901';"Nem szeretne nyilatkozni!";"Az éves szerviz elkészült csak még lakatos fényezésen van!! Az autó még nincs teljesen kész, majd valamikor elkészül, nincs határidõ megadva!!!"
NMLZ106600;"2020. 05. 15.";'B4519';"Nem szeretne nyilatkozni!";"Annyit mondana, hogy emailban leírta a problémákat jót és rosszat is!!"
NMBO080769;"2020. 05. 15.";'K1159';"Nem szeretne nyilatkozni!";"Nem szeretne értékelni, jön vissza!!!"
NMLZ106298;"2020. 05. 15.";'M0862';"Nem szeretne nyilatkozni!";
NMLZ105383;"2020. 05. 15.";'M0862';"Nem szeretne nyilatkozni!";
