Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMBO084145;"2020. 08. 24.";'K1414';"Nem szeretne nyilatkozni!";"Az IP-telefon nem engedélyezi a külföldi telefonszám hívását!!!"
NMLM098969;"2020. 08. 24.";'B4959';"Nem szeretne nyilatkozni!";"Az IP-telefon a külföldi telefonszám hívását nem engedélyezi!!!!"
NMBO083961;"2020. 08. 24.";'K4478';"Nem szeretne nyilatkozni!";"NINCS TELEFONSZÁM!!!!"
NMLG027757;"2020. 08. 24.";'C0394';"Sikeres hívás, kérdõív kitöltve.";"Az ügyfélvárót áthelyezték és nem lehet látni, hogy mi történik az autóval, mikor lesz kész! Amikor kirakták az autót és neki 3/4 órával késõbb szóltak!! Volt egy másik Kia típusú autója, amit odaadott a lányának és egy budapesti autószervizbe jár, és ott azt mondták, hogy az a valami folyadék nem is lett az autón anno cserélve!!"
NMLZ108667;"2020. 08. 24.";'E4848';"Nem szeretne nyilatkozni!";"Ezzel a munkával kapcsolatban már hívtam, beszéltünk!!"
NMLG027806;"2020. 08. 24.";'C1036';"Nem szeretne nyilatkozni!";"Vissza fog még térni, majd nyilatkozik!!!"
NMLG027809;"2020. 08. 24.";'E6057';"Sikeres hívás, kérdõív kitöltve.";"Rugalmasak és gyorsak voltak!!"
NMLM099520;"2020. 08. 24.";'C0445';"Sikeres hívás, kérdõív kitöltve.";"Valamiért ide átirányítottak, de a gödöllõi szervizzel megvan elégedve!! Ez a mûszaki nagyon sokáig tartott!!!"
NMLG027823;"2020. 08. 24.";'C0445';"Sikeres hívás, kérdõív kitöltve.";"A gödöllõi szervizzel elégedett, kb. egy három perce beszéltem az úrral!!"
NMLM099456;"2020. 08. 24.";'S2927';"Sikeres hívás, kérdõív kitöltve.";"Elégedett volt a szolgáltatással!!"
NMLG027706;"2020. 08. 24.";'E6222';"Sikeres hívás, kérdõív kitöltve.";"Nagyon megvolt elégedve az ügyfél kezeléssel, és a jövõben is ide fogja hozni az autóját!!!"
NMBO084064;"2020. 08. 24.";'M0879';"Nem szeretne nyilatkozni!";"Ez a telefonszám 08.13. óta csak csörög, illetve a mai napon kinyomott!!!"
NMBO084126;"2020. 08. 24.";'P6237';"Nem szeretne nyilatkozni!";"Most nem szeretne ezekre a kérdésekre válaszolni!"
NMBO084213;"2020. 08. 24.";'J3101';"Nem szeretne nyilatkozni!";"Már kérte, hogy ne hívjuk, mert már elõfordult, hogy ""kiadták"" Õt a munkafelvevõnek, hogy nyilatkozott!!!"
NMLM099502;"2020. 08. 24.";'B3794';"Nem szeretne nyilatkozni!";
NMBO084236;"2020. 08. 24.";'M0913';"Sikeres hívás, kérdõív kitöltve.";"Az árak nagyon elszaladtak a tavalyihoz képest!!"
NMBO084130;"2020. 08. 24.";'H1812';"Nem szeretne nyilatkozni!";"A javítás folyamatban van, utána beszéljünk!"
NMLZ108581;"2020. 08. 24.";'J9602';"Sikeres hívás, kérdõív kitöltve.";"Annyit jelezne, hogy a javítás kapcsán a komputer hibát jelez és ez azóta folyamatosan világít a mûszerfalon!!!"
NMBO082404;"2020. 08. 24.";'K1671';"Sikeres hívás, kérdõív kitöltve.";"Nagyon sajnálja, hogy a belsõ takarítása elmaradt!!"
NMLM099351;"2020. 08. 24.";'E4853';"Sikeres hívás, kérdõív kitöltve.";"A határidõben jelentõs csúszás volt, és az autó javítását is késõbb kezdték mint ahogy az megvolt beszélve!!!"
NMBO084181;"2020. 08. 24.";'K2799';"Sikeres hívás, kérdõív kitöltve.";"Jelzett egy hibát(keréknyomás jeladó), de igazából semmit nem csináltak vele!!!"
NMLZ108251;"2020. 08. 24.";'95391';"Sikeres hívás, kérdõív kitöltve.";"Másodszorra sikerült csak megcsinálni, ezért adott 7-es értékelést!!"
NMLZ108595;"2020. 08. 24.";'J5237';"Nem szeretne nyilatkozni!";"Ezt az autót már egy éve eladta!!! Az úr már ideges volt, mert már azóta többször hívtuk!! Nagyon szépen kéri, hogy írják át az új tulajdonosra ezt a rendszámot!! Annyit tudtam csinálni, hogy beírtam a progba, hogy eladta!!"
NMLZ108496;"2020. 08. 24.";'A8545';"Nem szeretne nyilatkozni!";"Sajnos értékelni nem szeretne, mert nem egy Nissan autójuk van, viszont egy másik autójuknál szakmailag értékelhetetlen, amit mondtak, és akkor ezt inkább most hagyjuk!!"
NMLZ108647;"2020. 08. 24.";'Q5415';"Sikeres hívás, kérdõív kitöltve.";"A múlt hétre ígérték neki, hogy küldik az árajánlatot, de még várja, mert nem érkezett meg!!!"
NMLG027807;"2020. 08. 25.";'E6241';"Sikeres hívás, kérdõív kitöltve.";"17.300,- forint volt a hibakeresés, ez nagyon soknak tûnt az úrnak, ez az egy problémája volt!!!"
NMBO084187;"2020. 08. 25.";'M1470';"Sikeres hívás, kérdõív kitöltve.";"Valami ropog hátul és vissza fog menni!!"
NMBO082581;"2020. 08. 25.";'K3674';"Sikeres hívás, kérdõív kitöltve.";"Nagyon korrektül lett intézve minden!!!"
NMLZ108364;"2020. 08. 25.";'S8853';"Nem szeretne nyilatkozni!";"Ügyfél-szolgálaton dolgozik és csak az este idõpont alkalmas a számára!!!"
NMLM099391;"2020. 08. 25.";'B3510';"Sikeres hívás, kérdõív kitöltve.";"Kicsit lassan ment a munka!!!"
