Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLM106905;"2021. 07. 05.";'B3897';"Nem szeretne nyilatkozni!";"Az autó most is nálunk van !
Sajnos van vele gond rendesen szinte mindent már kicseréltünk rajta és nem jó??"
NMBO090183;"2021. 07. 05.";'K2820';"Nem szeretne nyilatkozni!";"Sajnos a mûszaki vizsgának  már neki sem kezdtek  mert hibát találtak !!
Az alkatrészt megrendelték és majd ha megcsinálták utána beszéljünk !!"
NMLM107386;"2021. 07. 05.";'R0080';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága volt a szervizelés!!"
NMBO090193;"2021. 07. 05.";'K4500';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem elégedett amit kért azt nem csináltuk meg (klíma) a kommunikációban ígérték,hogy telefonálnak nem hívtuk !!<br />
A héten megint vissza kell jönnie e miatt !!"
NMLM107493;"2021. 07. 05.";'R0573';"Sikeres hívás, kérdõív kitöltve.";"Elégedetten távozott csak egy kicsit húzós volt!!"
NMLM107447;"2021. 07. 05.";'B6081';"Nem szeretne nyilatkozni!";"Visszahívást kért 07.02-re, de azóta nem vette fel!!!"
NMLM107490;"2021. 07. 05.";'B6087';"Nem szeretne nyilatkozni!";"Az ügyfél visszahívást kért 07.02-re, de azóta csak csörög!!"
NMLM107614;"2021. 07. 05.";'R0965';"Sikeres hívás, kérdõív kitöltve.";"Kampány visszahívás miatt fog még visszamenni!!"
NMLM107634;"2021. 07. 05.";'95788';"Sikeres hívás, kérdõív kitöltve.";"Már öt éve van  egy megjegyzése, hogy nincs magyar nyelvû használati utasítás, vagy kézi könyve!!!"
NMLZ113378;"2021. 07. 05.";'B5234';"Sikeres hívás, kérdõív kitöltve.";"Picit sokáig tartott a javítás de errõl a szerviz nem tehet !!"
NMLM107588;"2021. 07. 05.";'57161';"Sikeres hívás, kérdõív kitöltve.";"Tovább tartani ezt a színvonalat és továbbra is ide fognak járni!!"
NMLG030860;"2021. 07. 05.";'C0546';"Sikeres hívás, kérdõív kitöltve.";"A szervizben is kitöltött egy papírlapot!!"
NMLG030874;"2021. 07. 05.";'C1209';"Sikeres hívás, kérdõív kitöltve.";"Volt egy garanciális munka. Rákérdezett egy munkára, szélvédõn repedés vagy karc. A munkafelvevõ az nagyon készséges kedves udvarias volt, segítõkész volt, pedig sok munkája volt(sok ügyfél volt reggel) viszont garanciális munkafelvevõ õt próbálta lerázni!! Reméli, hogy a jövõben visszatér a szélvédõ garanciális javítása miatt! Az árakat lejjebb lehetne vinni!!"
NMBO090301;"2021. 07. 05.";'K1958';"Sikeres hívás, kérdõív kitöltve.";"Nagyon elégedett a szervizzel !<br />
Tavalyhoz képest sokat javult a szerviz !<br />
Oly annyira,hogy itt vesz most egy új autót ismét !"
NMBO090279;"2021. 07. 05.";'K4646';"Sikeres hívás, kérdõív kitöltve.";"A számlát megint rosszul állítottuk ki mint a múltkor is !?"
NMLG030931;"2021. 07. 05.";'E6741';"Sikeres hívás, kérdõív kitöltve.";"Garanciális munka miatt fog visszatérni!"
NMLG030863;"2021. 07. 05.";'C0734';"Sikeres hívás, kérdõív kitöltve.";"Régen lemosták az autót, most sajnos nem, és az ülésre és a kormányra nem tettek védõ fóliát!!"
NMLZ114764;"2021. 07. 05.";'T2312';"Sikeres hívás, kérdõív kitöltve.";"Csak annyi,hogy kb. 30-40 perc telt el még az autót bevitték a szervizbe ?!"
NMLG030928;"2021. 07. 05.";'K0336';"Sikeres hívás, kérdõív kitöltve.";"Más munka kapcsán tér majd vissza, ha megérkezik az alkatrész!"
NMLM107480;"2021. 07. 05.";'B2826';"Sikeres hívás, kérdõív kitöltve.";"A szerviz ár nagyon magas ! Illetve 110ezer forintba egy külsõ mosás is beleférhetett volna ??"
NMBO090296;"2021. 07. 06.";'K5270';"Sikeres hívás, kérdõív kitöltve.";"Maximálisan elégedett volt gyorsan jött az alkatrész !<br />
Jelezte a m.felvevõnek,hogy novemberben is jön ide mûszakira mert nagyon elégedett velünk !"
NMLZ114221;"2021. 07. 06.";'T2390';"Sikeres hívás, kérdõív kitöltve.";"Nagyon elégedett volt még kávét és vizet is kapott !!"
NMBO090086;"2021. 07. 06.";'I9638';"Nem szeretne nyilatkozni!";"A kerék-jeladónak darabja 30-ezer forint lenne ezt köszöni de nem kérte !!  "
NMLZ114742;"2021. 07. 06.";'A9101';"Sikeres hívás, kérdõív kitöltve.";"Nem rég volt éves szervizen !<br />
Esetleg a jövõben a szerviz a klímát is átnézhetné,hogy ne akkor szembesüljön ,hogy nem mûködik amikor a legnagyobb meleg van !!<br />
Ezt csak mint jó tanácsként jelezné !!"
NMLZ114419;"2021. 07. 06.";'P6927';"Sikeres hívás, kérdõív kitöltve.";"Jó lenne ha csereautót ismét kaphatna a javítás idejére !!"
NMLZ114495;"2021. 07. 06.";'C1431';"Sikeres hívás, kérdõív kitöltve.";"Ha így viselkednek vele, akkor szívesen jön majd vissza!!"
NMLM106891;"2021. 07. 06.";'B6012';"Sikeres hívás, kérdõív kitöltve.";"A telephelyen kereste a szerviz helyét aztán egy kolléga elé jött és nagyon segítõ volt !!<br />
"
NMBO090135;"2021. 07. 06.";'K2891';"Nem szeretne nyilatkozni!";"Ez a telefonszám 07.01. óta csak csörög, így elérhetetlen!!"
NMLZ114166;"2021. 07. 06.";'K3601';"Nem szeretne nyilatkozni!";"Ez a telefonszám 07.01. óta csak csörög, így elérhetetlen!!"
NMLZ114563;"2021. 07. 06.";'Q2089';"Nem szeretne nyilatkozni!";"Az ügyfél még 07.01-én visszahívást kért 14:30-ra, de azóta csak csörög, nem veszi fel!!"
NMBO090277;"2021. 07. 06.";'M1136';"Sikeres hívás, kérdõív kitöltve.";"Volt aki nagyon barátságtalan volt, és nagyon drága a szerviz, de viszont nagyon jó szolgáltatást nyújtottak!!"
NMLZ114569;"2021. 07. 07.";'P8103';"Sikeres hívás, kérdõív kitöltve.";"Csak 1 héttel késõbb kapott mûszaki vizsgát mert rendszer hiba volt !!"
NMBO090356;"2021. 07. 07.";'I8361';"Nem szeretne nyilatkozni!";"Egy hölgy vette fel a telefont és a bemutatkozásom után azt mondta, hogy ez nem érdekli és letette a telefont!"
NMLM107467;"2021. 07. 07.";'C0787';"Nem szeretne nyilatkozni!";"Ez a telefonszám 07.05. óta csak csörög, a 2. mobil pedig a flottakezelõ száma!!!"
NMLZ114513;"2021. 07. 07.";'T2363';"Sikeres hívás, kérdõív kitöltve.";"Az emberi részével is maximálisan elégedett !!"
NMLM107612;"2021. 07. 07.";'B0541';"Nem szeretne nyilatkozni!";"Az ügyfél visszahívást kért 07.05-én, de azóta csak csörög, ill. kinyom!!"
NMLM107674;"2021. 07. 07.";'R0623';"Sikeres hívás, kérdõív kitöltve.";"Az úr jelenleg Olaszországban van, és azt mondta minden rendben volt!!"
NMLM107656;"2021. 07. 07.";'R1263';"Sikeres hívás, kérdõív kitöltve.";"Érdekelte volna az új Hyundai elektromos aautója, és kérne értesítést erre az email címre amikor meg lehetne nézni, és kipróbálni!! boss@hirosbroker.hu!!"
NMLZ114763;"2021. 07. 07.";'T2395';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága a szerviz !!"
