Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLM095469;"2020. 03. 09.";'R0638';"Nem szeretne nyilatkozni!";"Elmondta, hogy nem olyan régen már hívtam, beszéltünk, értékelt!!!"
NMLM095536;"2020. 03. 09.";'B3525';"Sikeres hívás, kérdõív kitöltve.";"Garanciális ügyben még visszatérés lesz!!!"
NMLZ105264;"2020. 03. 09.";'S5382';"Nem szeretne nyilatkozni!";"Elmondta, hogy már hívtam, beszéltünk!"
NMLZ104661;"2020. 03. 09.";'K3419';"Nem szeretne nyilatkozni!";"Ez az úr 03.03-án visszahívást kér, de azóta csak hangposta jelentkezik!!!"
NMLZ102920;"2020. 03. 09.";'B3761';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 03.03. óta csak hangposta jelentkezik!"
NMLZ103780;"2020. 03. 09.";'A8545';"Nem szeretne nyilatkozni!";
NMLZ104352;"2020. 03. 09.";'A8545';"Nem szeretne nyilatkozni!";
NMBO081124;"2020. 03. 09.";'P6431';"Sikeres hívás, kérdõív kitöltve.";"Sajnos az ígért határidõt a szerviz nem tudta tartani! Nagyon magas az ár, ami elég ijesztõ!!! "
NMLZ105335;"2020. 03. 09.";'S7108';"Nem szeretne nyilatkozni!";"Probléma volt az autójával, és bement a szervizünkbe! Elmondta a problémáját a munkafelvevõnek! A hölgy elkérte az adatokat és a munkalapot felvette! A segítõkészséggel, hozzáállással minden rendben volt, de még nem tudja, amit kódot kapott az jó-e, ha ne"
NMLZ105270;"2020. 03. 09.";'P6952';"Nem szeretne nyilatkozni!";"Dolgozónk Tóth Attila telefonszáma!!!"
NMLZ105297;"2020. 03. 09.";'Q5262';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!!"
NMLM095252;"2020. 03. 09.";'99291';"Sikeres hívás, kérdõív kitöltve.";"Annyi lenne a megjegyzése, hogy a szolgáltatási körbõl kivették a csereautó szolgáltatást és ez vicc!! Üzeni az Importõrnek, hogy ""kapja be""!!!!(ezt mondta az ügyfél szó szerint)"
NMLM095237;"2020. 03. 09.";'B3663';"Nem szeretne nyilatkozni!";
NMLZ105302;"2020. 03. 09.";'98539';"Sikeres hívás, kérdõív kitöltve.";"A zuglói szervizben a parkolás szinte lehetetlen!!!"
NMLZ105224;"2020. 03. 09.";'A6196';"Sikeres hívás, kérdõív kitöltve.";"Annyit szeretne mondani, hogy az sms küldésben volt pici hiba!!!!"
NMLZ105306;"2020. 03. 09.";'J2532';"Sikeres hívás, kérdõív kitöltve.";"Szeretné elmondani, hogy kb. 5 percet várt arra, hogy valaki megkérdezze miért áll ott!!??"
NMLZ105276;"2020. 03. 09.";'Q4426';"Sikeres hívás, kérdõív kitöltve.";"Az ár picit magasabb lett, mint amit mondtak! A másik, hogy a kommunikáció nem elég jó, mert nem jelezték, hogy kész az autó! Nagyon zsúfolt a zuglói szerviz parkolója!!!<br />
"
NMLZ105260;"2020. 03. 09.";'S1393';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drágán dolgozik a Gablini cég!!!"
NMLM095475;"2020. 03. 09.";'A9425';"Nem szeretne nyilatkozni!";"Jelezné, hogy egy 320 ezer forintos számlába nem fért bele, hogy az autót lemossák az elég szomorú!!!"
NMLZ105341;"2020. 03. 09.";'95380';"Sikeres hívás, kérdõív kitöltve.";"Sajnos a javítás nem lett teljesen tökéletes és lehet, hogy jön vissza!!!!"
NMLZ105353;"2020. 03. 09.";'S7140';"Nem szeretne nyilatkozni!";"Nem tudtuk sajnos beszélni, mert csak angolul beszél az úr!!!"
NMBO080958;"2020. 03. 09.";'A1237';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drágán dolgozik a Gablini cég!!"
NMBO081256;"2020. 03. 09.";'A1237';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drágán dolgozik a Gablini cég!!"
NMBO080240;"2020. 03. 09.";'J3610';"Nem szeretne nyilatkozni!";"Az autó két hónapot vár alkatrészre! Sajnos ennek nem örült, de ez nyilván nem a szerviz hibája!!!!"
NMBO081272;"2020. 03. 09.";'K2554';"Sikeres hívás, kérdõív kitöltve.";"Szeretné elmondani, hogy az ígért határidõ duplája volt a javítási idõnek!!! Ez negatív volt számára!!!!"
NMBO081156;"2020. 03. 10.";'J9478';"Sikeres hívás, kérdõív kitöltve.";"Jóval magasabb lett a végösszeg, mint amit az elején mondtak(duplája)!!!"
NMBO081215;"2020. 03. 10.";'M0925';"Sikeres hívás, kérdõív kitöltve.";"Azok a költségek, amit kifizet az drága! Amennyiben lejár a kötelezõ szervizelés, valószínû máshová fog járni!!!"
NMBO080380;"2020. 03. 10.";'M1067';"Sikeres hívás, kérdõív kitöltve.";"Ütemtelenül jár az autó, megnézték, már 3x volt. 400 ezer forintot fizetett, és a hiba nem szûnt meg!!! Ezt a problémát már a tavalyi évben is jelezte(garancia idõben), a gyertya cserét nem kérte, és az autó most sem jó, mert megint észrevette, és így könnyû véleményezni másnak a pénzén!!!<br />
"
NMBO081234;"2020. 03. 10.";'K4149';"Sikeres hívás, kérdõív kitöltve.";"Itt munkavégzés nem volt, de a vásárlással minden rendben volt!"
NMBO081259;"2020. 03. 10.";'J6555';"Sikeres hívás, kérdõív kitöltve.";"Az úr annyit mondott, hogy most nem esik jól beszélnie sem, mert influenzaszerû tünetei vannak, de minden rendben volt!"
NMLZ104831;"2020. 03. 10.";'K1263';"Sikeres hívás, kérdõív kitöltve.";"Apróbb javítások miatt fog még visszatérni!! Decemberben bejelentette és márciusra tudták ezt megcsinálni, szerinte ez mindent elárul a szervizrõl!!!"
NMLZ104335;"2020. 03. 10.";'M0446';"Sikeres hívás, kérdõív kitöltve.";"Úgy kapta vissza,hogy a hátsó lámpaburát fordítva rakták vissza(az ügyfél vette észre) és amikor már megjött az alkatrész csak utána cserélték meg! Nem volt egy minõségi javítás!!! Kommunikációval egyáltalán nem volt megelégedve!! A 2. szerelésnél megoldották, hogy kapott egy napra csereautót! A munkafelvevõ hölgy aki ott van most nincs informálva, nem tudott semmit, amit az ügyfél kérdezett! "
NMLM094701;"2020. 03. 10.";'R0736';"Sikeres hívás, kérdõív kitöltve.";"Garanciális javítás volt!!Az úr a 2. kérdésre a szerv.szolg.: 2-es, a m.felvevõ:5-ös!!!"
NMLZ105229;"2020. 03. 10.";'S4299';"Sikeres hívás, kérdõív kitöltve.";"Azt ígérték, hogy 2-3 óra múlva telefonálnak, de nem telefonálták és 5 óra után már elment az autóért! Diagnosztikáról volt szó és összeget nem mondtak, hogy mennyibe fog kerülni, majd nem volt annyi pénz(100 ezer forint) nála és akkor azért kellett várni! A kommunikációval egyáltalán nincs megelégedve, sajnos az nem mûködik!!"
NMLM095524;"2020. 03. 10.";'Q8609';"Nem szeretne nyilatkozni!";"Szintén autószerviz, így nem nyilatkozik!"
NMBO080537;"2020. 03. 10.";'K3991';"Sikeres hívás, kérdõív kitöltve.";"Kicsit sokáig tartott a javítás, elõször azt mondták 1-2 óra, aztán 2,5 óra lett belõle!"
NMLM095519;"2020. 03. 10.";'66261';"Sikeres hívás, kérdõív kitöltve.";"Itt a 2. telefonszám át van irányítva a kolléganõ telefonjára és elmondta, hogy a kollégája járt bent(beteg), de nem volt semmi problémája, minden rendben volt!"
NMLM095513;"2020. 03. 10.";'64006';"Nem szeretne nyilatkozni!";"Elviszi az ember kötelezõ szervizre az autóját és most mellbe vágta az összeg, amit fizetett!!"
NMLM095491;"2020. 03. 10.";'A9624';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága a szerviz!!!"
NMLM095476;"2020. 03. 10.";'58881';"Nem szeretne nyilatkozni!";"Az e-e-mailben érkezõ kérdõívet már kitöltötte és visszaküldte!!"
NMBO080868;"2020. 03. 10.";'S0014';"Nem szeretne nyilatkozni!";"Annyit mondott az úr, hogy ezt most engedjük el!!!"
NMLM095470;"2020. 03. 10.";'58601';"Nem szeretne nyilatkozni!";"Már az emailban kapott kérdõívet kitöltötte!"
NMLZ105285;"2020. 03. 10.";'S5949';"Nem szeretne nyilatkozni!";"Az elsõ mobilszám sajnos nem jó, mert nem Õ járt bent! A második mobilszám pedig kevés!!!!"
NMLZ105222;"2020. 03. 10.";'S3015';"Nem szeretne nyilatkozni!";"Már kitöltötte az e-mailes kérdõívet!!!"
NMLZ104776;"2020. 03. 10.";'S6691';"Nem szeretne nyilatkozni!";"Viszont eladó, és a beírt szám nem létezik!!!"
NMLG026313;"2020. 03. 10.";'E5419';"Nem szeretne nyilatkozni!";
NMLZ105280;"2020. 03. 10.";'I4719';"Nem szeretne nyilatkozni!";"Az úr elmondta, hogy már hívtuk, értékelt!"
NMLZ105245;"2020. 03. 10.";'I4719';"Nem szeretne nyilatkozni!";"Az úr elmondta, hogy már hívtuk, értékelt!"
NMLM095482;"2020. 03. 10.";'B4549';"Nem szeretne nyilatkozni!";"Az elsõ mobilszámon más személy jelentkezik, a 2. mobilszámot 03.05.óta hívjuk, de mindig kinyom!!!"
NMLM095333;"2020. 03. 10.";'A9080';"Nem szeretne nyilatkozni!";"Az úr jelenleg szabadságon van csak 03.16. után lehet hívni!!!"
NMLM094790;"2020. 03. 11.";'J8693';"Sikeres hívás, kérdõív kitöltve.";"Az elektromos autókhoz nem nagyon értenek!!!"
NMLZ105333;"2020. 03. 11.";'A9540';"Sikeres hívás, kérdõív kitöltve.";"A nívó pálca tartót gyors kötözõvel rakták hozzá a km-csõhöz, de végül is már elment 50 km-t még ott van tartja!!!"
NMBO081208;"2020. 03. 11.";'P7088';"Sikeres hívás, kérdõív kitöltve.";"Itt a feleséggel beszéltem, mert a férje most nem tud beszélni, és azt mondta neki minden rendben volt!"
NMBO081207;"2020. 03. 11.";'M0158';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél a m.felvevõ: 10-es értékelés!!!"
NMBO081047;"2020. 03. 11.";'K2758';"Nem szeretne nyilatkozni!";"Ez a telefonszám 03.04.óta csak csörög, két napja pedig elsõ csöngetés után rögtön kinyom!!!"
NMLZ105226;"2020. 03. 11.";'Q0538';"Sikeres hívás, kérdõív kitöltve.";"Szeretné elmondani, hogy a kommunikációban kellene javulni!! Ígérték, hogy majd telefonálnak, ami sajnos nem történt meg!!!"
NMBO080597;"2020. 03. 11.";'M1316';"Nem szeretne nyilatkozni!";"Az úr közölte velem, hogy neki olyan a munkaidõ beosztása, hogy mindig csak délután 17 óra után ér rá!!! Kérdeztem, hogy holnap délelõtt alkalmas-e és erre mondta!!"
