Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMBO087521;"2021. 02. 15.";'M1038';"Nem szeretne nyilatkozni!";"Az IP-telefon nem engedélyezi a külföldi telefonszám hívását!"
NMBO086820;"2021. 02. 15.";'K4876';"Nem szeretne nyilatkozni!";"Az IP-telefon nem engedélyezi a külföldi telefonszám hívását, és a másik telefonszám pedig hülyeség!!!!"
NMLZ112016;"2021. 02. 15.";'S5564';"Nem szeretne nyilatkozni!";"Az IP-telefon külföldi telefonszám hívását nem engedélyezi, és ezt már 2019. decemberében is leírtam, még sem kértetek másik telefonszámot!!!"
NMLG029361;"2021. 02. 15.";'C0699';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága a rezsióradíj, és ez nagyon megdobja költségeket!"
NMLG029447;"2021. 02. 15.";'C0871';"Sikeres hívás, kérdõív kitöltve.";"Az Bútor Róbert féle Nissan szerviznek volt egy nagyon jó szokása, és akármilyen munkával járt ott mindig lemosták az autóját!! 12 évig Suzuki szervizbe járt, azelõtt pedig Peugeot szervizbe járt és ott is mindig megkínálták egy kávéval vagy teával, és ez egy nagyon szimpatikus gesztus volt!!"
NMLG029452;"2021. 02. 15.";'C0947';"Nem szeretne nyilatkozni!";"A hölgy visszahívott, mert foglalt volt és elmondta, hogy a férje járt a szervizben(nem beszél magyarul), de biztosan megvolt elégedve!!"
NMLG029439;"2021. 02. 15.";'E3988';"Sikeres hívás, kérdõív kitöltve.";"Abszolút korrekt, udvarias a csapat!!!"
NMLM103433;"2021. 02. 15.";'A4142';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél a szerviz-szolgáltatás 5-ös, m.felvevõ: 4-es! Volt egy kicsi össze-visszaság!!"
NMBO087501;"2021. 02. 15.";'K1274';"Nem szeretne nyilatkozni!";
NMLZ112021;"2021. 02. 15.";'T2010';"Nem szeretne nyilatkozni!";"Sajnos nem Õ járt bent a szervizben csak leszervezte, és a ki bevitte a szervizbe az most az üzemben dolgozik!!"
NMBO087487;"2021. 02. 15.";'K4311';"Sikeres hívás, kérdõív kitöltve.";"Nagyon magas árakon dolgozunk!!!!"
NMBO087265;"2021. 02. 15.";'K1866';"Nem szeretne nyilatkozni!";
NMLZ111980;"2021. 02. 15.";'Q0665';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!!"
NMLZ112001;"2021. 02. 15.";'P8979';"Sikeres hívás, kérdõív kitöltve.";"A Nissan-nal vannak problémái és nem a szervizzel!! Holnap is jön vissza garanciális javítás miatt!!!"
NMLZ111471;"2021. 02. 15.";'M1559';"Sikeres hívás, kérdõív kitöltve.";"Sajnos többször kellett visszamennie, az ablakmosó miatt, mert nem tesztelték le mielõtt átadták volna az autót, és még egyszer kell mennie!!"
NMLM103403;"2021. 02. 15.";'B5015';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél a m.felvevõ: 10-es!!!Más munka miatt fog még visszatérni!!!"
NMBO087495;"2021. 02. 15.";'M1225';"Sikeres hívás, kérdõív kitöltve.";"Drága a szerviz!"
NMBO087457;"2021. 02. 15.";'M1326';"Sikeres hívás, kérdõív kitöltve.";"A Király László munkájával nagyon megvolt elégedve!!"
NMBO087200;"2021. 02. 15.";'S0358';"Nem szeretne nyilatkozni!";"Nem tud értékelni!! Az autón a festés gyári hibás, és kb. egy hét lenne a javítás!! Nem tudunk sajnos egy hétre  csereautót adni, ezért a munka meghiúsult!!!"
NMLM103707;"2021. 02. 15.";'66505';"Nem szeretne nyilatkozni!";
NMBO087543;"2021. 02. 15.";'J9382';"Sikeres hívás, kérdõív kitöltve.";"A kollégák ott mondták, hogy ráteszik a komputerre, és errõl nem tájékoztatták, hogy az mennyibe fog kerülni, és az autó elõbb kész is lett, de nem szóltak! Igenis tájékoztatni kell az ügyfelet az idõrõl és az árról is, mert nem volt erre felkészülve!!"
NMBO087318;"2021. 02. 16.";'M1456';"Sikeres hívás, kérdõív kitöltve.";"Az ablakmosó folyadékot nem töltötték fel, tavaly viszont igen, de ez nem probléma csak megjegyzés(itt hölggyel beszéltem)!!!"
NMLG029394;"2021. 02. 16.";'E6257';"Nem szeretne nyilatkozni!";
NMLG029429;"2021. 02. 16.";'E5141';"Nem szeretne nyilatkozni!";"A megbeszélt idõben hívtam, de három csörgetés után kinyomott!!"
NMLZ111981;"2021. 02. 16.";'T2008';"Nem szeretne nyilatkozni!";"Ez a telefonszám csak folyamatosan foglaltat jelez, délelõtt és délután is!!!"
NMLM104026;"2021. 02. 16.";'B5221';"Sikeres hívás, kérdõív kitöltve.";"Ott volt két órát a galérián, a büfé sem volt nyitva, és egy kicsit otthonosabbá tenni!! A kollégákkal nagyon megvan elégedve, eddig Ausztriába járt szervizbe, de most már ide, mert itt a kollégák felfedeztek egy hibát, amit ott nem!!"
NMLM104048;"2021. 02. 16.";'B1777';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél m.felvevõ:5-ös!!"
NMLZ111917;"2021. 02. 16.";'P6582';"Nem szeretne nyilatkozni!";"Zuglóban dolgozó kollégánk telefonszáma(testvére autója volt a szervizben)!!!!"
NMLZ112038;"2021. 02. 16.";'T2013';"Nem szeretne nyilatkozni!";"Még megy vissza a szervizbe, mert hiányos volt az átvizsgálás, árajánlat!!"
NMLZ111971;"2021. 02. 16.";'Q9156';"Sikeres hívás, kérdõív kitöltve.";"Bízik benne,hogy a hiba nem jön elõ megint!!"
NMLZ112006;"2021. 02. 16.";'88306';"Nem szeretne nyilatkozni!";"Ez a telefonszám 02.12. óta csak csörög, illetve visszahívás kérés ellenére is csak csörög!!!"
NMLG029400;"2021. 02. 16.";'B3796';"Nem szeretne nyilatkozni!";"Ez a telefonszám 02.12. óta csak csörög!!"
NMLZ111534;"2021. 02. 16.";'A8611';"Sikeres hívás, kérdõív kitöltve.";"Mindig Õ írt e-mailt, és telefonált,  ha információt szeretett volna kapni az autóról!! "
NMLM103985;"2021. 02. 16.";'B5629';"Nem szeretne nyilatkozni!";"Sajnos nem elégedett!! Kifizetett mindent, nem találják a hibát, azt mondták jó, de másnap ugyanaz a hiba jelentkezett, de már nem ment vissza, nem foglalkozott vele!!"
NMLM103888;"2021. 02. 17.";'B5614';"Nem szeretne nyilatkozni!";"A visszahívás kérés ellenére csak csörög, 02.12. óta!!"
NMLZ111439;"2021. 02. 17.";'P3366';"Nem szeretne nyilatkozni!";"Ez a telefonszám 02.15. óta csak csörög, így elérhetetlen!!"
NMLG029403;"2021. 02. 17.";'E5088';"Nem szeretne nyilatkozni!";"Ez a telefonszám vagy nem volt elérhetõ, vagy csak csörög 02.15. óta!!"
NMBO087516;"2021. 02. 17.";'M1235';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 02.15. óta csak hangposta jelentkezik,  így elérhetetlen!!"
NMBO087439;"2021. 02. 17.";'J6627';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon csak hangposta jelentkezett 02.15. óta!!"
NMLM103887;"2021. 02. 17.";'M1569';"Nem szeretne nyilatkozni!";"Ez a telefonszám 02.15. óta csak csörög, annak ellenére, hogy visszahívást kért!! Az elsõ mobilszám Pataki Dániel dolgozónk telefonszáma!!!"
NMLM104121;"2021. 02. 18.";'B4716';"Sikeres hívás, kérdõív kitöltve.";"Az ügyfél kínai és nagyon nehezen értettem, de leírtam amit mondott!! Vissza kellett mennie, mert nem találták a hibát, és a munkafelvevõ nem volt annyira kedves!! A budaörsi szerviz egész más régen odajárt ott nagyon kedvesek!!"
NMBO086348;"2021. 02. 18.";'M1537';"Sikeres hívás, kérdõív kitöltve.";"E-mailen kért ajánlatot, stb., az árajánlat rendben volt, de egy tájékoztatás hiányzott a részérõl, viszont a mûszeres vizsgálatnál nem tudták a szerviz-intervallumot állítani, és errõl nem kaptak tájékoztatást!! Magyarul nem nullázták le!!! Azt mondták, hogy a nálunk ez nem lehetséges, de ezt elõre kellett volna jelezni!!"
NMLM104044;"2021. 02. 18.";'R1080';"Sikeres hívás, kérdõív kitöltve.";"A külsõ mosás megcsinálták, de a belsõ mosást fel sem ajánlották(tudja, hogy fizetõs), de ezt már a múltkor is modta!!!"
NMLM103294;"2021. 02. 18.";'A4142';"Sikeres hívás, kérdõív kitöltve.";"Az ügyfél elmondta, hogy különben hétfõn már beszéltünk!!"
NMLZ109947;"2021. 02. 18.";'T1526';"Sikeres hívás, kérdõív kitöltve.";"Hosszadalmas volt ez a javítás, egy félévet kellett várnia, hogy kész legyen az autó, és ez nem nagyon tetszett neki, ez nagyon hosszú idõ volt!!"
NMLM104123;"2021. 02. 18.";'B5651';"Nem szeretne nyilatkozni!";"Nem volt tisztában az árakkal, de nálunk dupla annyiba került!! A hátsó kerékjáratnál nem emlékszik, hogy ott lett volna a karcolás, horzsolás, és a hirdetés felvételein sem látszik!! Ezt azután vették észre, amikor elment a szervizbõl!! Kérte, hogy ennek"
NMLM104003;"2021. 02. 18.";'B5635';"Nem szeretne nyilatkozni!";"Az ügyfél a visszahívás kérés ellenére sem vette fel 02.16. óta!!!"
NMLZ111676;"2021. 02. 18.";'T1968';"Nem szeretne nyilatkozni!";"Nagyon szépen kérek mindenkit, ilyen hülyeséget nem írjatok be, ilyen telefonszám nem létezik!!! Egyáltalán minek kerül be a CRM listába???"
NMLZ110443;"2021. 02. 18.";'T1758';"Sikeres hívás, kérdõív kitöltve.";"Annyi lenne a megjegyzése, hogy a szerviz mindent megtesz, de miután a Nissan, mint autó nem teljesen olyan minõség ami elvárható lenne!!!"
NMLZ111624;"2021. 02. 18.";'P8879';"Sikeres hívás, kérdõív kitöltve.";"A munka minõsége nem lett száz százalékos, vannak pici problémák a javítással kapcsolatban!!!"
NMBO087559;"2021. 02. 18.";'K4058';"Sikeres hívás, kérdõív kitöltve.";"Nagyon drága a szerviz!!!"
NMBO087548;"2021. 02. 18.";'J9995';"Sikeres hívás, kérdõív kitöltve.";"Azt szeretné kérni, hogy az elõzõ szerviz-látogatáson a motortér burkoló nálunk maradt, és ezt szeretné megkapni!!"
NMBO087567;"2021. 02. 18.";'J5986';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!!!"
NMLM103822;"2021. 02. 18.";'B2426';"Nem szeretne nyilatkozni!";"A visszahívás kérés ellenére ez a telefonszám 02.16. óta csak csörög!!!"
NMLG029286;"2021. 02. 18.";'E4594';"Nem szeretne nyilatkozni!";"Mostanában nagyon elfoglalt nem ér rá!!"
NMLM104061;"2021. 02. 18.";'B1658';"Sikeres hívás, kérdõív kitöltve.";"Szervizelés után a motorháztetõ illene lecsukni, egy másik autós figyelmeztette erre menet közben!!"
NMLG029504;"2021. 02. 19.";'C1157';"Sikeres hívás, kérdõív kitöltve.";"Egy kávéval azért megkínálhatták volna!!!"
NMLM104022;"2021. 02. 19.";'66440';"Nem szeretne nyilatkozni!";"Ez a telefonszám a visszahívás kérés ellenére csak csörög 02.18. óta!!"
NMLM103795;"2021. 02. 19.";'B4475';"Sikeres hívás, kérdõív kitöltve.";"Elvileg van egy assistance szolgáltatás, de ezt a telefonszámot nem veszi fel soha, senki!!!"
NMLM103939;"2021. 02. 19.";'66489';"Nem szeretne nyilatkozni!";"Itt nem volt munkavégzés csak kapott egy papírlapot, az autót nem vitték le a szerelõ mûhelyben! Minden rendben volt ahogy odaért már kapta is a papírt!!"
NMLM104060;"2021. 02. 19.";'B2991';"Sikeres hívás, kérdõív kitöltve.";"Iszonyatosan magas árakon dolgozik a Gablini cég!!!"
NMLM104065;"2021. 02. 19.";'24647';"Sikeres hívás, kérdõív kitöltve.";"Azt sajnálja, hogy a javítást nem lehetett garanciában elvégezni!!!"
NMLZ110877;"2021. 02. 19.";'T1829';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nagyon nem elégedett!! Nem kommunikál, e-mailekre nem válaszol, össze-vissza beszél!! A biztosítóval Õ intézi az ügyeket!! Arra hivatkoznak, hogy a kollégák koronavírusosak, de ezt a Gablini cég nem engedheti meg magának!! Senkinek nem ajánlaná a céget!!!"
NMLZ110319;"2021. 02. 19.";'K2982';"Nem szeretne nyilatkozni!";"02.22-én megy még vissza Budaörsre, ha lehet utána beszéljünk!!"
NMBO087537;"2021. 02. 19.";'K4972';"Sikeres hívás, kérdõív kitöltve.";"Jelezné, hogy a belsõ takarítás valamiért nem történt meg!!!!"
NMBO087587;"2021. 02. 19.";'J7470';"Sikeres hívás, kérdõív kitöltve.";"Nagyon sajnálja, hogy nincs már szerviz csereautó!!!!"
