Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLZ109093;"2020. 09. 28.";'24425';"Nem szeretne nyilatkozni!";DOLGOZÓNK!!!!
NMBO084886;"2020. 09. 28.";'J6086';"Nem szeretne nyilatkozni!";"Most beteg, és nem tud értékelni!!"
NMLM100419;"2020. 09. 28.";'B5158';"Sikeres hívás, kérdõív kitöltve.";"Egy egyszerû szervizt idõben vehetnének rövidebb idõre!!"
NMLM100445;"2020. 09. 28.";'A7785';"Sikeres hívás, kérdõív kitöltve.";"Magas az ár!!!"
NMBO084856;"2020. 09. 28.";'K1943';"Sikeres hívás, kérdõív kitöltve.";"Hosszú volt a várakozási idõ!!!"
NMBO084878;"2020. 09. 28.";'K4615';"Nem szeretne nyilatkozni!";"Viszi Gödöllõre és utána beszéljünk!!!"
NMLM100365;"2020. 09. 28.";'M1527';"Sikeres hívás, kérdõív kitöltve.";"Sokat kellett várni öt órán át tartott!!"
NMLM100447;"2020. 09. 28.";'A0046';"Sikeres hívás, kérdõív kitöltve.";"Az akciókra felhívhatnák a figyelmét ami akkor aktuális!"
NMLM100385;"2020. 09. 28.";'M1003';"Nem szeretne nyilatkozni!";"Igazából azért vitte be, mert csörgött, zörgött, kattogott! Azt mondták, hogy pár hét múlva vigye be!! Bevitték, elhozták, de az autó ugyanúgy nem volt jó!! Telefonálni kellene neki ezek után, mert azt mondták, hogy a kolléga beteg és jelentkeznie kell!! "
NMLM100453;"2020. 09. 28.";'R0318';"Sikeres hívás, kérdõív kitöltve.";"Egy évvel ezelõtt kicseréltek egy alkatrészt, és most még sincs megoldva ez a probléma!!!"
NMBO084855;"2020. 09. 28.";'J9459';"Sikeres hívás, kérdõív kitöltve.";"Az autót nem mosták le!!"
NMLZ109294;"2020. 09. 28.";'P4736';"Nem szeretne nyilatkozni!";"Nem akar értékelni, inkább ki fogja tölteni az emailben kapott kérdõívet!!"
NMLZ109334;"2020. 09. 28.";'P6926';"Sikeres hívás, kérdõív kitöltve.";"A hiba nem szûnt meg, és a tájékoztatásban javulhatnánk!!"
NMBO084927;"2020. 09. 28.";'K4620';"Nem szeretne nyilatkozni!";"Kapott egy nagyon magas javítási összeget, amin hezitál!!"
NMLZ109354;"2020. 09. 28.";'S7329';"Nem szeretne nyilatkozni!";"A múltkor is felhívtuk és elmondta a problémáit!! Senki nem kereste!! Nagyon magas árak(alkatrész, munkadíj), amit kérnek azt nem csinálják meg, semmi kedvezmény...stb.!!"
NMLZ109263;"2020. 09. 28.";'Q0746';"Nem szeretne nyilatkozni!";"Az autót még nem kapta meg, csak ígéret volt, hogy a múlt hét közepére elkészül! Azóta senki nem telefonált!!"
NMLZ109232;"2020. 09. 28.";'S0975';"Sikeres hívás, kérdõív kitöltve.";"A tájékoztatásban nem volt tökéletes a dolog, a kolléga nagyon leterhelt volt!!!"
NMLZ105076;"2020. 09. 28.";'S0975';"Sikeres hívás, kérdõív kitöltve.";"A tájékoztatásban nem volt tökéletes a dolog, a kolléga nagyon leterhelt volt!!!"
