Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLZ114825;"2021. 07. 12.";'A3593';"Sikeres hívás, kérdõív kitöltve.";"Elég körülményes a szervizbe a bejutás és itt az utcára gondol !!"
NMBO090430;"2021. 07. 12.";'U0181';"Sikeres hívás, kérdõív kitöltve.";"Csak annyi,hogy a határidõben volt csúszás !"
NMBO090341;"2021. 07. 12.";'K0329';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem elégedett ! <br />
Az a kolléga akivel elõzetesen megbeszélte a munkát beteg állományba ment és nem adta át az információt !<br />
Ez okozott jelentõs csuszást  és elégedetlenséget az ügyfél részérõl !!"
NMBO090379;"2021. 07. 12.";'K2651';"Sikeres hívás, kérdõív kitöltve.";"Az olajszivárgás nem szûnt meg jön valamikor vissza !!"
NMLM107465;"2021. 07. 12.";'R0612';"Sikeres hívás, kérdõív kitöltve.";"Egy kicsit lehetnének kedvesebbek a munkatársak!! "
NMBO090387;"2021. 07. 12.";'K5278';"Sikeres hívás, kérdõív kitöltve.";"A szervizbe sajnos nem mehet be nem látja mit csinálnak !! <br />
Várja telefon hívást hogy mit intéztek a garanciával kapcsolatban !!"
NMLZ114705;"2021. 07. 12.";'B5698';"Sikeres hívás, kérdõív kitöltve.";"Sajnos elsõre nem sikerült az autót megcsinálni mindig csak fizetett a diagnosztikáért !!<br />
Most már jó !!"
NMLM107725;"2021. 07. 12.";'B2639';"Nem szeretne nyilatkozni!";"Az autó még a szervizben van, és kérdezné, hogy pénteken mehet-e érte, csak nem veszik fel a telefont!!"
NMLG030978;"2021. 07. 12.";'E6747';"Sikeres hívás, kérdõív kitöltve.";"Nagyon rendben volt minden !!"
NMLG030912;"2021. 07. 12.";'E6739';"Sikeres hívás, kérdõív kitöltve.";"Csak így tovább, és ide fog jönni máskor is!!"
NMLM107553;"2021. 07. 12.";'R1316';"Nem szeretne nyilatkozni!";"Amennyiben nem muszáj, akkor most kihagyná!!!"
NMLM107636;"2021. 07. 12.";'J7549';"Nem szeretne nyilatkozni!";Dolgozónk!!!
NMBO090319;"2021. 07. 12.";'J7508';"Sikeres hívás, kérdõív kitöltve.";"Kért javításokat de abból nem lett semmi megcsinálva !!"
NMLZ114479;"2021. 07. 12.";'T2341';"Nem szeretne nyilatkozni!";"Sajnos voltak problémák !!  Kérte ha bármit találunk telefonáljunk,hogy mehet nem mehet !  
Aztán  jöttek a meglepetések javítási összegekrõl és mondta ,hogy itt álljunk meg
!
Az autót elszállította nem lett a javítás befejezve ??"
