Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLM100569;"2020. 11. 02.";'60879';"Nem szeretne nyilatkozni!";"Néhai dolgozónk!!"
NMLZ109962;"2020. 11. 02.";'13720';"Nem szeretne nyilatkozni!";"Sajnos, amikor bent jár a szervizben mindig valami baja lesz az autónak!! Most a lámpa lett rossz!! Iszonyatosan a magasak az árak, nem elégedett!!"
NMLZ109926;"2020. 11. 02.";'Q5955';"Nem szeretne nyilatkozni!";"Ezen a számon az úrnak nincs információja errõl az autóról!!"
NMBO085579;"2020. 11. 02.";'K1621';"Sikeres hívás, kérdõív kitöltve.";"A javítás elõtt kap árajánlatot, és mire a pénztárhoz megy az az összeg mindig magasabb, évek óta!!"
NMLZ108951;"2020. 11. 02.";'P5634';"Nem szeretne nyilatkozni!";
NMBO084840;"2020. 11. 02.";'K0040';"Nem szeretne nyilatkozni!";"Amit jelzett hibát a garancia idõ alatt nem találták meg!! Most, hogy letelt a garancia idõ már megtalálták 44 ezer forintért!!! Hát ennyit az elégedettségrõl!!!"
NMBO085668;"2020. 11. 02.";'J9252';"Sikeres hívás, kérdõív kitöltve.";"A pénzügyi dolgok nem voltak a helyzet magaslatán(átutalás, egyéb)és a kommunikáció sem tökéletes!!!"
NMBO085661;"2020. 11. 02.";'K3425';"Sikeres hívás, kérdõív kitöltve.";"Nagyon sokáig tartott a szervizelés, és a csereautó szolgáltatás megszûnése nagy hiba!!!"
NMLZ108751;"2020. 11. 02.";'K2232';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrész beérkezése miatt a határidõ volt hosszú!!"
NMLM100876;"2020. 11. 02.";'A9889';"Nem szeretne nyilatkozni!";"Dolgozónk felesége!!!!"
NMLZ109850;"2020. 11. 02.";'18535';"Nem szeretne nyilatkozni!";"Itt csak egy jóváírószámla volt, nem tudok mit kérdezni!!"
NMLZ110002;"2020. 11. 02.";'13720';"Nem szeretne nyilatkozni!";
NMLG028476;"2020. 11. 03.";'E5341';"Nem szeretne nyilatkozni!";"Idõm se volt megkérdezni, hogy mikor hívhatom, mert azt mondta dolgozik és letette a telefont!"
NMLG028487;"2020. 11. 03.";'E6357';"Nem szeretne nyilatkozni!";"Nem szeretné, ha ilyenekkel zavarnánk!!!"
NMLG028068;"2020. 11. 03.";'E5481';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésre azért 1-es értékelés, mert Õ igazából Ausztriában lakik és a szerelést megoldja magának!!"
NMLG028500;"2020. 11. 03.";'E6360';"Nem szeretne nyilatkozni!";"Gablini Péterrel már beszélt, mert volt valami gondja!!"
NMLZ109608;"2020. 11. 03.";'C0906';"Nem szeretne nyilatkozni!";"Kitöltötte az emailben kapott kérdõívet, és vissza is küldte!!"
NMLG028140;"2020. 11. 03.";'C0696';"Sikeres hívás, kérdõív kitöltve.";"Kicsit messze van nekik, de a szervizvezetõ is nagyon korrekt volt, és egy idõsebb kolléga!! Rugalmasabb lehetne a gépkocsi kölcsönzés!!"
NMLG028526;"2020. 11. 03.";'C1076';"Sikeres hívás, kérdõív kitöltve.";"Elõzetes egyeztetés alapján másfél-két óra ezt mondták! Ehhez képes 17 órakor jött el. Internet kapcsolat nem volt valamilyen kulcsot nem tudták frissíteni! 4,5-5 órát kellett várnia! Ez a mi világban nonszensz, 5%-os kupont kapott, ami nagyon csekély(""kitörölheti vele a ..."" ezt az ügyfél mondta)!!"
NMLG028118;"2020. 11. 03.";'E5484';"Nem szeretne nyilatkozni!";DOLGOZÓNK!!!
NMLZ109576;"2020. 11. 03.";'S4882';"Nem szeretne nyilatkozni!";"Az úr nem ért magyarul!!!"
NMLM099622;"2020. 11. 03.";'P7940';"Nem szeretne nyilatkozni!";"Az úr elmondta, hogy itt csak alkatrész vásárlása volt!!"
NMLZ109943;"2020. 11. 03.";'28157';"Sikeres hívás, kérdõív kitöltve.";"Kérte, hogy cseréljék ki a fényszóró izzót, de nem csinálták meg!!"
NMLZ108238;"2020. 11. 03.";'K3673';"Sikeres hívás, kérdõív kitöltve.";"Szeretné jelezni, hogy nem tájékoztatják, nem hívják, neki kell érdeklõdni!! Amit kért azt nem csinálták meg, pedig megígérték! Sajnos két hónapot vár alkatrészre és ez nagyon negatív!!"
NMLZ110021;"2020. 11. 03.";'A8835';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem teljesen elégedett!! A fék javításnál elõzetesen nem kapott ajánlatot, és nem volt teljes körû a tájékoztatás!! Az árak nagyon magasak, 4-5 éves autóra nem kap kedvezményt! Esetleg e-mailben várna akciókat egyéb kedvezményeket!!"
NMLZ110046;"2020. 11. 03.";'A7185';"Sikeres hívás, kérdõív kitöltve.";"Sajnos azt tapasztalta, hogy a szervizben a kollégák a maszk viselését nem veszik komolyan!!"
NMBO085559;"2020. 11. 03.";'K0731';"Nem szeretne nyilatkozni!";"Az autót bevitte 7 óra 30-ra és 12 órára lett kész!! Nem tájékoztat, nem mond semmit!!! Ezt nem tudja értékelni!!"
NMBO085599;"2020. 11. 04.";'K1337';"Nem szeretne nyilatkozni!";"Ezen a telefonon visszahívást kértek 11.03-ra, de folyamatosan csak csörög!!"
NMBO084588;"2020. 11. 04.";'K3425';"Sikeres hívás, kérdõív kitöltve.";"Sokáig tartott a szervizelés!!"
NMLZ109998;"2020. 11. 04.";'P9252';"Nem szeretne nyilatkozni!";"Ez a telefonszám 10.30. óta csak csörög!!"
NMLZ109811;"2020. 11. 04.";'92520';"Nem szeretne nyilatkozni!";"Ez a telefonszám 11.02. óta csak csörög!"
NMLM101319;"2020. 11. 04.";'M1517';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél az ügyfél a munkafelvevõre 10-es értékelést adott!!"
NMLM101320;"2020. 11. 04.";'Q2023';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél az ügyfél a munkafelvevõre 10-es értékelést adott!!"
NMLZ109977;"2020. 11. 04.";'S0627';"Sikeres hívás, kérdõív kitöltve.";"Valami a futómûnél kopog, és ez a szerviz nem vette észre!!"
NMBO085551;"2020. 11. 04.";'M0969';"Nem szeretne nyilatkozni!";"Ez a telefonszám 10. 29. óta csak csörög, így elérhetetlen!!"
NMLG028474;"2020. 11. 05.";'C0508';"Nem szeretne nyilatkozni!";"11.03. óta ez az ügyfél csörgetés közben kinyom!!"
NMLG028517;"2020. 11. 05.";'C1081';"Sikeres hívás, kérdõív kitöltve.";"Kicsit drága a szerviz!!! A várakozás is sok volt egy kicsit!!"
NMLG028513;"2020. 11. 05.";'E6362';"Sikeres hívás, kérdõív kitöltve.";"Abszolút megvan elégedve, inkább ide fogja hordani az autót, mint a Wallis Autóhoz(Kerepesi út)!!"
NMLG028515;"2020. 11. 05.";'E6363';"Sikeres hívás, kérdõív kitöltve.";"A megbeszélt idõponthoz  képest csak félórával késõbb tudta leadni az autót(okát nem mondták, hogy miért)!!"
NMLG028293;"2020. 11. 05.";'E6287';"Nem szeretne nyilatkozni!";"11.03-án visszahívtam a megbeszélt idõben, de nem vette fel, ma ismét csak csörgött!!"
NMBO085619;"2020. 11. 05.";'K0338';"Sikeres hívás, kérdõív kitöltve.";"A 3. autót vette már nálunk, és egyre jobban le van gatyásodva minden!! Mentálisan frusztrálja az embert ez a környezet és a nagy fluktuáció!!"
NMLZ107657;"2020. 11. 05.";'M1037';"Sikeres hívás, kérdõív kitöltve.";"Nyilván nem a szerviz hibája, de nagyon sokat(5 hónapot)várt az alkatrészre! Gumi kapcsán kell visszamennie!!"
NMLZ109398;"2020. 11. 05.";'T1614';"Nem szeretne nyilatkozni!";"Nem az Õ autója, hanem a társa autója és nem tud róla mit mondani, és le is tette a telefont!!"
NMBO083920;"2020. 11. 05.";'M1386';"Nem szeretne nyilatkozni!";"Már kitöltötte az online platformunkon!!"
NMLM101000;"2020. 11. 05.";'K3927';"Nem szeretne nyilatkozni!";"Több, mint két hetet(17nap) várt egy akkumulátor cserére, két három nap alatt érkezett meg!! Egy ilyen milliós autó tekintetében mi szerintünk teljesen rendben van, csereautót nem tudunk adni, ez elfogadhatatlan! Az 1. és 2.kérdésre  1-es értékelést adott"
NMBO085802;"2020. 11. 05.";'K4722';"Sikeres hívás, kérdõív kitöltve.";"Kicsit lassan ment ez az átvizsgálás két óra hosszáig tartott!!"
NMBO082991;"2020. 11. 05.";'M1396';"Nem szeretne nyilatkozni!";"Nagyon nem elégedett 1-esre értékeli a szervizt, fõleg a szervizvezetõt nem a megfelelõ hangnemben beszélt elõ!! Az alkatrész megérkezésérõl sms-t kap, majd bemegy és nincs is alkatrész és a kollégák egymásra mutogatnak!!"
NMBO084849;"2020. 11. 05.";'J9839';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdésnél elmondta, hogy azért adott 1-es értékelést, mert egy hónapot várt az alkatrészre, és neki kellett bérautót fizetni ezen idõszak alatt!! A munkafelvevõ emberileg megtett mindent,Õ 10-es de ez akkor is nonszensz!! A NISSAN Képviseletnél pedig nagyon megengedhetetlen hangon beszéltek a hölggyel!! A jövõben elgondolkodik, hogy egyáltalán megtartja-e az Infinitit pedig nagyon szereti!!!"
NMLG028566;"2020. 11. 05.";'B5054';"Sikeres hívás, kérdõív kitöltve.";"Sajnos ezt megelõzõleg volt egy javítás amirõl kiderült, hogy nem volt jól elvégezve!! Nem volt elégedett a gödöllõi szerviz munkájával!!!"
NMLG027985;"2020. 11. 05.";'E6265';"Sikeres hívás, kérdõív kitöltve.";"Nagyon nem elégedett!! Az alkatrészre hat hetet várt!! Csereautót 10 ezer forintért kapott volna!! Van három gyereke és mit kezdene egy Nissan Micrával?! Vett egy autót 10 millió forintért és ez kapja?!! Már ügyvéddel akart menni, de akkor valamit történt!! Nagyon negatív minden amit tapasztalt és a munkafelvevõ is paraszt volt!!"
NMBO085806;"2020. 11. 05.";'K3907';"Nem szeretne nyilatkozni!";"Jövõ héten megy vissza, majd utána beszéljünk!!!"
NMLM101449;"2020. 11. 05.";'B4139';"Sikeres hívás, kérdõív kitöltve.";"A szerviz a kommunikációban javulhatna!! Az árról nem tájékoztatja az ügyfelet, csak kész tényként közli a munkadíj árát(ami persze nagyon magas) Valószínû, hogy többé nem fog idejönni!!"
NMLG028528;"2020. 11. 05.";'E6365';"Sikeres hívás, kérdõív kitöltve.";"A javítási idõtartamot amit mondtak, az nem tartották!! És nem kapott pontos árat az adott munkára, a mûszeres diagnosztikai vizsgálatot teljesen feleslegesen végeztük el!!"
NMLZ110060;"2020. 11. 05.";'S4055';"Nem szeretne nyilatkozni!";"Sajnos nem teljesen elégedett!! Az oka pedig az, hogy 7 óra 45 perckor már ott volt, de a szervizbõl senki a kollégák közül!! A pénztáros kijött és mondta, hogy a kolléga csömöri felüljárónál jár és 10 perc türelmet kért!! Aztán telt az idõ és egy másik v"
NMBO085604;"2020. 11. 05.";'P5366';"Nem szeretne nyilatkozni!";"Itt az elsõ mobilon beszéltünk! Sajnos nem elégedett!! Az autón cserélve volt lengés csillapító a nyár közepén! Azóta az autót nem használták, mert egy másik Juke! Aztán használták és az a munka amit javítottunk ismét tönkre ment%!! Kapott anyag illetve m"
NMLZ110019;"2020. 11. 05.";'A8329';"Nem szeretne nyilatkozni!";"Ez a telefonszám 11.03. óta csak csörög!!!"
NMBO085744;"2020. 11. 05.";'K0067';"Sikeres hívás, kérdõív kitöltve.";"A tájékoztatás lehetne alaposabb, és sajnos ebbõl az állapotvizsgálatból nem sok mindent tudott meg!!!"
NMBO085697;"2020. 11. 05.";'K3872';"Nem szeretne nyilatkozni!";"Ez a telefonszám 11.03. óta csak csörög!!"
NMLZ109923;"2020. 11. 05.";'B2566';"Nem szeretne nyilatkozni!";"Ez a telefonszám 11.03. óta csak csörög, illetve visszahívás kérés ellenére sem vette fel!!"
NMLM101461;"2020. 11. 05.";'B5291';"Nem szeretne nyilatkozni!";
NMLZ109696;"2020. 11. 05.";'B5146';"Sikeres hívás, kérdõív kitöltve.";"Azt mondták, hogy a javítás 3-4 nap és egy hónap lett!! Csereautót nincs, nem telefonálnak, nem tájékoztatnak! Ez nagyon-nagyon negatív!!!"
NMLZ109458;"2020. 11. 05.";'B5146';"Sikeres hívás, kérdõív kitöltve.";"Azt mondták, hogy a javítás 3-4 nap és egy hónap lett!! Csereautót nincs, nem telefonálnak, nem tájékoztatnak! Ez nagyon-nagyon negatív!!!"
NMLM101557;"2020. 11. 06.";'B2950';"Nem szeretne nyilatkozni!";"M3-on dolgozónk,készletkezelõ!!"
NMLG028544;"2020. 11. 06.";'B3647';"Sikeres hívás, kérdõív kitöltve.";"Az árak nagyon magasak!!"
NMLZ109136;"2020. 11. 06.";'T0361';"Sikeres hívás, kérdõív kitöltve.";"Az ígért idõ az hosszabb lett, mint amirõl szó volt, és a kommunikációban nagyon kéne javulni!!!"
NMBO085045;"2020. 11. 06.";'K4638';"Sikeres hívás, kérdõív kitöltve.";"A kommunikációban javulhatnánk, nem értesítették, hogy az alkatrész megjött!!"
NMLZ110062;"2020. 11. 06.";'T1640';"Nem szeretne nyilatkozni!";"Itt az elsõ mobil nem jó, az a régi tulajdonosé! A második mobil pedig csak csörgött, így elérhetetlen!!!"
NMLZ110001;"2020. 11. 06.";'J7142';"Nem szeretne nyilatkozni!";"Itt csak az volt, ami a hibaleírásban szerepel, javítás vagy más nem!!!"
